2025-08-19T14:07:48+01:00  14:07:48 up 2 days, 53 min,  1 user,  load average: 2.37, 14.86, 23.36
2025-08-19T14:12:18+01:00  14:12:18 up 2 days, 57 min,  1 user,  load average: 10.03, 11.84, 19.92
2025-08-19T14:12:23+01:00  14:12:23 up 2 days, 57 min,  1 user,  load average: 9.31, 11.66, 19.82
2025-08-19T14:12:28+01:00  14:12:28 up 2 days, 58 min,  1 user,  load average: 9.84, 11.73, 19.80
2025-08-19T14:12:33+01:00  14:12:33 up 2 days, 58 min,  1 user,  load average: 10.01, 11.74, 19.75
2025-08-19T14:12:38+01:00  14:12:38 up 2 days, 58 min,  1 user,  load average: 10.65, 11.84, 19.75
2025-08-19T14:12:43+01:00  14:12:43 up 2 days, 58 min,  1 user,  load average: 12.68, 12.24, 19.83
2025-08-19T14:12:48+01:00  14:12:48 up 2 days, 58 min,  1 user,  load average: 14.31, 12.59, 19.90
2025-08-19T14:12:53+01:00  14:12:53 up 2 days, 58 min,  1 user,  load average: 14.13, 12.58, 19.86
2025-08-19T14:12:58+01:00  14:12:58 up 2 days, 58 min,  1 user,  load average: 14.44, 12.67, 19.85
2025-08-19T14:13:03+01:00  14:13:03 up 2 days, 58 min,  1 user,  load average: 14.00, 12.61, 19.79
2025-08-19T14:13:08+01:00  14:13:08 up 2 days, 58 min,  1 user,  load average: 13.52, 12.53, 19.73
2025-08-19T14:13:13+01:00  14:13:13 up 2 days, 58 min,  1 user,  load average: 14.68, 12.79, 19.77
2025-08-19T14:13:18+01:00  14:13:18 up 2 days, 58 min,  1 user,  load average: 14.38, 12.76, 19.73
2025-08-19T14:13:23+01:00  14:13:23 up 2 days, 58 min,  1 user,  load average: 15.07, 12.93, 19.74
2025-08-19T14:13:28+01:00  14:13:28 up 2 days, 59 min,  1 user,  load average: 14.51, 12.85, 19.68
2025-08-19T14:13:33+01:00  14:13:33 up 2 days, 59 min,  1 user,  load average: 14.15, 12.80, 19.63
2025-08-19T14:13:38+01:00  14:13:38 up 2 days, 59 min,  1 user,  load average: 13.17, 12.62, 19.53
2025-08-19T14:13:43+01:00  14:13:43 up 2 days, 59 min,  1 user,  load average: 12.36, 12.46, 19.44
2025-08-19T14:13:48+01:00  14:13:48 up 2 days, 59 min,  1 user,  load average: 12.09, 12.40, 19.39
2025-08-19T14:13:53+01:00  14:13:53 up 2 days, 59 min,  1 user,  load average: 11.92, 12.36, 19.34
2025-08-19T14:13:58+01:00  14:13:58 up 2 days, 59 min,  1 user,  load average: 12.49, 12.47, 19.34
2025-08-19T14:14:03+01:00  14:14:03 up 2 days, 59 min,  1 user,  load average: 12.05, 12.38, 19.27
2025-08-19T14:14:08+01:00  14:14:08 up 2 days, 59 min,  1 user,  load average: 11.48, 12.26, 19.19
2025-08-19T14:14:13+01:00  14:14:13 up 2 days, 59 min,  1 user,  load average: 10.56, 12.06, 19.09
2025-08-19T14:14:18+01:00  14:14:18 up 2 days, 59 min,  1 user,  load average: 10.84, 12.09, 19.06
2025-08-19T14:14:23+01:00  14:14:23 up 2 days, 59 min,  1 user,  load average: 10.61, 12.02, 19.00
2025-08-19T14:14:28+01:00  14:14:28 up 2 days,  1:00,  1 user,  load average: 10.32, 11.94, 18.94
2025-08-19T14:14:33+01:00  14:14:34 up 2 days,  1:00,  1 user,  load average: 11.34, 12.12, 18.96
2025-08-19T14:14:39+01:00  14:14:39 up 2 days,  1:00,  1 user,  load average: 11.63, 12.17, 18.94
2025-08-19T14:14:44+01:00  14:14:44 up 2 days,  1:00,  1 user,  load average: 10.86, 12.00, 18.85
2025-08-19T14:14:49+01:00  14:14:49 up 2 days,  1:00,  1 user,  load average: 13.67, 12.56, 18.99
2025-08-19T14:14:54+01:00  14:14:54 up 2 days,  1:00,  1 user,  load average: 12.98, 12.44, 18.92
2025-08-19T14:14:59+01:00  14:14:59 up 2 days,  1:00,  1 user,  load average: 12.98, 12.45, 18.88
2025-08-19T14:15:04+01:00  14:15:04 up 2 days,  1:00,  1 user,  load average: 12.02, 12.26, 18.79
2025-08-19T14:15:09+01:00  14:15:09 up 2 days,  1:00,  1 user,  load average: 12.10, 12.27, 18.76
2025-08-19T14:15:14+01:00  14:15:14 up 2 days,  1:00,  1 user,  load average: 12.09, 12.27, 18.72
2025-08-19T14:15:19+01:00  14:15:19 up 2 days,  1:00,  1 user,  load average: 12.81, 12.41, 18.73
2025-08-19T14:15:24+01:00  14:15:24 up 2 days,  1:00,  1 user,  load average: 12.58, 12.37, 18.69
2025-08-19T14:15:29+01:00  14:15:29 up 2 days,  1:01,  1 user,  load average: 12.93, 12.45, 18.68
2025-08-19T14:15:34+01:00  14:15:34 up 2 days,  1:01,  1 user,  load average: 12.22, 12.31, 18.60
2025-08-19T14:15:39+01:00  14:15:39 up 2 days,  1:01,  1 user,  load average: 13.80, 12.63, 18.67
2025-08-19T14:15:44+01:00  14:15:44 up 2 days,  1:01,  1 user,  load average: 13.58, 12.61, 18.63
2025-08-19T14:15:49+01:00  14:15:49 up 2 days,  1:01,  1 user,  load average: 14.89, 12.90, 18.69
2025-08-19T14:15:54+01:00  14:15:54 up 2 days,  1:01,  1 user,  load average: 14.26, 12.80, 18.63
2025-08-19T14:15:59+01:00  14:15:59 up 2 days,  1:01,  1 user,  load average: 14.48, 12.87, 18.62
2025-08-19T14:16:04+01:00  14:16:04 up 2 days,  1:01,  1 user,  load average: 15.16, 13.04, 18.64
2025-08-19T14:16:09+01:00  14:16:09 up 2 days,  1:01,  1 user,  load average: 16.43, 13.33, 18.71
2025-08-19T14:16:14+01:00  14:16:14 up 2 days,  1:01,  1 user,  load average: 16.64, 13.43, 18.71
2025-08-19T14:16:19+01:00  14:16:19 up 2 days,  1:01,  1 user,  load average: 15.39, 13.22, 18.62
2025-08-19T14:16:24+01:00  14:16:24 up 2 days,  1:01,  1 user,  load average: 14.23, 13.02, 18.52
2025-08-19T14:16:29+01:00  14:16:29 up 2 days,  1:02,  1 user,  load average: 14.62, 13.12, 18.52
2025-08-19T14:16:34+01:00  14:16:34 up 2 days,  1:02,  1 user,  load average: 13.93, 13.00, 18.46
2025-08-19T14:16:39+01:00  14:16:39 up 2 days,  1:02,  1 user,  load average: 17.70, 13.80, 18.68
2025-08-19T14:16:44+01:00  14:16:44 up 2 days,  1:02,  1 user,  load average: 17.08, 13.73, 18.64
2025-08-19T14:16:49+01:00  14:16:49 up 2 days,  1:02,  1 user,  load average: 16.91, 13.75, 18.62
2025-08-19T14:16:54+01:00  14:16:54 up 2 days,  1:02,  1 user,  load average: 15.96, 13.61, 18.54
2025-08-19T14:16:59+01:00  14:16:59 up 2 days,  1:02,  1 user,  load average: 17.24, 13.91, 18.62
2025-08-19T14:17:04+01:00  14:17:04 up 2 days,  1:02,  1 user,  load average: 17.22, 13.97, 18.61
2025-08-19T14:17:09+01:00  14:17:09 up 2 days,  1:02,  1 user,  load average: 17.12, 14.00, 18.59
2025-08-19T14:17:14+01:00  14:17:14 up 2 days,  1:02,  1 user,  load average: 16.39, 13.90, 18.54
2025-08-19T14:17:19+01:00  14:17:19 up 2 days,  1:02,  1 user,  load average: 16.04, 13.87, 18.50
2025-08-19T14:17:24+01:00  14:17:24 up 2 days,  1:02,  1 user,  load average: 14.84, 13.65, 18.41
2025-08-19T14:17:29+01:00  14:17:29 up 2 days,  1:03,  1 user,  load average: 15.01, 13.71, 18.40
2025-08-19T14:17:34+01:00  14:17:34 up 2 days,  1:03,  1 user,  load average: 14.13, 13.55, 18.32
2025-08-19T14:17:39+01:00  14:17:39 up 2 days,  1:03,  1 user,  load average: 15.24, 13.79, 18.37
2025-08-19T14:17:44+01:00  14:17:44 up 2 days,  1:03,  1 user,  load average: 15.30, 13.83, 18.36
2025-08-19T14:17:49+01:00  14:17:49 up 2 days,  1:03,  1 user,  load average: 15.52, 13.90, 18.36
2025-08-19T14:17:54+01:00  14:17:54 up 2 days,  1:03,  1 user,  load average: 14.59, 13.73, 18.28
2025-08-19T14:17:59+01:00  14:17:59 up 2 days,  1:03,  1 user,  load average: 14.63, 13.75, 18.26
2025-08-19T14:18:04+01:00  14:18:04 up 2 days,  1:03,  1 user,  load average: 13.70, 13.57, 18.18
2025-08-19T14:18:09+01:00  14:18:09 up 2 days,  1:03,  1 user,  load average: 14.92, 13.83, 18.24
2025-08-19T14:18:14+01:00  14:18:14 up 2 days,  1:03,  1 user,  load average: 14.21, 13.70, 18.17
2025-08-19T14:18:19+01:00  14:18:19 up 2 days,  1:03,  1 user,  load average: 14.83, 13.84, 18.20
2025-08-19T14:18:24+01:00  14:18:24 up 2 days,  1:03,  1 user,  load average: 15.73, 14.04, 18.24
2025-08-19T14:18:29+01:00  14:18:29 up 2 days,  1:04,  1 user,  load average: 14.47, 13.81, 18.14
2025-08-19T14:18:34+01:00  14:18:34 up 2 days,  1:04,  1 user,  load average: 15.15, 13.96, 18.17
2025-08-19T14:18:39+01:00  14:18:39 up 2 days,  1:04,  1 user,  load average: 14.90, 13.93, 18.13
2025-08-19T14:18:44+01:00  14:18:44 up 2 days,  1:04,  1 user,  load average: 15.47, 14.06, 18.15
2025-08-19T14:18:49+01:00  14:18:49 up 2 days,  1:04,  1 user,  load average: 17.11, 14.43, 18.25
2025-08-19T14:18:54+01:00  14:18:54 up 2 days,  1:04,  1 user,  load average: 16.06, 14.25, 18.17
2025-08-19T14:18:59+01:00  14:18:59 up 2 days,  1:04,  1 user,  load average: 16.14, 14.30, 18.17
2025-08-19T14:19:04+01:00  14:19:04 up 2 days,  1:04,  1 user,  load average: 15.48, 14.19, 18.11
2025-08-19T14:19:09+01:00  14:19:09 up 2 days,  1:04,  1 user,  load average: 16.57, 14.44, 18.17
2025-08-19T14:19:14+01:00  14:19:14 up 2 days,  1:04,  1 user,  load average: 15.56, 14.27, 18.09
2025-08-19T14:19:19+01:00  14:19:19 up 2 days,  1:04,  1 user,  load average: 16.16, 14.41, 18.12
2025-08-19T14:19:24+01:00  14:19:24 up 2 days,  1:05,  1 user,  load average: 15.98, 14.40, 18.10
2025-08-19T14:19:29+01:00  14:19:29 up 2 days,  1:05,  1 user,  load average: 16.07, 14.45, 18.09
2025-08-19T14:19:35+01:00  14:19:35 up 2 days,  1:05,  1 user,  load average: 15.98, 14.46, 18.07
2025-08-19T14:19:40+01:00  14:19:40 up 2 days,  1:05,  1 user,  load average: 15.10, 14.30, 18.00
2025-08-19T14:19:45+01:00  14:19:45 up 2 days,  1:05,  1 user,  load average: 15.17, 14.33, 17.99
2025-08-19T14:19:50+01:00  14:19:50 up 2 days,  1:05,  1 user,  load average: 15.72, 14.45, 18.02
2025-08-19T14:19:55+01:00  14:19:55 up 2 days,  1:05,  1 user,  load average: 15.10, 14.35, 17.96
2025-08-19T14:20:00+01:00  14:20:00 up 2 days,  1:05,  1 user,  load average: 15.81, 14.51, 17.99
2025-08-19T14:20:05+01:00  14:20:05 up 2 days,  1:05,  1 user,  load average: 16.07, 14.58, 18.00
2025-08-19T14:20:10+01:00  14:20:10 up 2 days,  1:05,  1 user,  load average: 16.14, 14.62, 17.99
2025-08-19T14:20:15+01:00  14:20:15 up 2 days,  1:05,  1 user,  load average: 15.41, 14.50, 17.93
2025-08-19T14:20:20+01:00  14:20:20 up 2 days,  1:05,  1 user,  load average: 17.06, 14.85, 18.03
2025-08-19T14:20:25+01:00  14:20:25 up 2 days,  1:06,  1 user,  load average: 17.06, 14.89, 18.03
2025-08-19T14:20:30+01:00  14:20:30 up 2 days,  1:06,  1 user,  load average: 18.01, 15.12, 18.09
2025-08-19T14:20:35+01:00  14:20:35 up 2 days,  1:06,  1 user,  load average: 16.89, 14.94, 18.01
2025-08-19T14:20:40+01:00  14:20:40 up 2 days,  1:06,  1 user,  load average: 16.58, 14.91, 17.98
2025-08-19T14:20:45+01:00  14:20:45 up 2 days,  1:06,  1 user,  load average: 17.73, 15.17, 18.05
2025-08-19T14:20:50+01:00  14:20:50 up 2 days,  1:06,  1 user,  load average: 17.35, 15.14, 18.03
2025-08-19T14:20:55+01:00  14:20:55 up 2 days,  1:06,  1 user,  load average: 16.44, 14.99, 17.96
2025-08-19T14:21:00+01:00  14:21:00 up 2 days,  1:06,  1 user,  load average: 17.21, 15.17, 18.00
2025-08-19T14:21:05+01:00  14:21:05 up 2 days,  1:06,  1 user,  load average: 16.31, 15.02, 17.94
2025-08-19T14:21:10+01:00  14:21:10 up 2 days,  1:06,  1 user,  load average: 16.69, 15.12, 17.96
2025-08-19T14:21:15+01:00  14:21:15 up 2 days,  1:06,  1 user,  load average: 16.71, 15.15, 17.95
2025-08-19T14:21:20+01:00  14:21:20 up 2 days,  1:06,  1 user,  load average: 16.90, 15.21, 17.96
2025-08-19T14:21:25+01:00  14:21:25 up 2 days,  1:07,  1 user,  load average: 18.91, 15.66, 18.09
2025-08-19T14:21:30+01:00  14:21:30 up 2 days,  1:07,  1 user,  load average: 18.99, 15.73, 18.10
2025-08-19T14:21:35+01:00  14:21:35 up 2 days,  1:07,  1 user,  load average: 18.27, 15.63, 18.05
2025-08-19T14:21:40+01:00  14:21:40 up 2 days,  1:07,  1 user,  load average: 16.89, 15.39, 17.96
2025-08-19T14:21:45+01:00  14:21:45 up 2 days,  1:07,  1 user,  load average: 17.22, 15.48, 17.98
2025-08-19T14:21:50+01:00  14:21:50 up 2 days,  1:07,  1 user,  load average: 17.28, 15.53, 17.98
2025-08-19T14:21:55+01:00  14:21:55 up 2 days,  1:07,  1 user,  load average: 16.94, 15.48, 17.95
2025-08-19T14:22:00+01:00  14:22:00 up 2 days,  1:07,  1 user,  load average: 16.38, 15.39, 17.91
2025-08-19T14:22:05+01:00  14:22:05 up 2 days,  1:07,  1 user,  load average: 16.75, 15.49, 17.92
2025-08-19T14:22:10+01:00  14:22:10 up 2 days,  1:07,  1 user,  load average: 17.01, 15.56, 17.94
2025-08-19T14:22:15+01:00  14:22:15 up 2 days,  1:07,  1 user,  load average: 17.57, 15.70, 17.97
2025-08-19T14:22:20+01:00  14:22:20 up 2 days,  1:07,  1 user,  load average: 17.77, 15.77, 17.98
2025-08-19T14:22:25+01:00  14:22:25 up 2 days,  1:08,  1 user,  load average: 18.03, 15.86, 18.00
2025-08-19T14:22:30+01:00  14:22:30 up 2 days,  1:08,  1 user,  load average: 18.18, 15.93, 18.01
2025-08-19T14:22:35+01:00  14:22:35 up 2 days,  1:08,  1 user,  load average: 18.97, 16.13, 18.06
2025-08-19T14:22:40+01:00  14:22:40 up 2 days,  1:08,  1 user,  load average: 20.90, 16.58, 18.20
2025-08-19T14:22:45+01:00  14:22:45 up 2 days,  1:08,  1 user,  load average: 20.42, 16.55, 18.18
2025-08-19T14:22:50+01:00  14:22:50 up 2 days,  1:08,  1 user,  load average: 20.39, 16.61, 18.19
2025-08-19T14:22:55+01:00  14:22:55 up 2 days,  1:08,  1 user,  load average: 20.12, 16.61, 18.18
2025-08-19T14:23:00+01:00  14:23:00 up 2 days,  1:08,  1 user,  load average: 20.51, 16.75, 18.22
2025-08-19T14:23:05+01:00  14:23:05 up 2 days,  1:08,  1 user,  load average: 19.43, 16.59, 18.16
2025-08-19T14:23:10+01:00  14:23:10 up 2 days,  1:08,  1 user,  load average: 19.79, 16.71, 18.19
2025-08-19T14:23:15+01:00  14:23:15 up 2 days,  1:08,  1 user,  load average: 20.45, 16.90, 18.24
2025-08-19T14:23:20+01:00  14:23:20 up 2 days,  1:08,  1 user,  load average: 21.22, 17.12, 18.31
2025-08-19T14:23:25+01:00  14:23:25 up 2 days,  1:09,  1 user,  load average: 22.24, 17.40, 18.39
2025-08-19T14:23:30+01:00  14:23:30 up 2 days,  1:09,  1 user,  load average: 22.70, 17.58, 18.44
2025-08-19T14:23:35+01:00  14:23:35 up 2 days,  1:09,  1 user,  load average: 21.20, 17.35, 18.36
2025-08-19T14:23:40+01:00  14:23:40 up 2 days,  1:09,  1 user,  load average: 21.03, 17.38, 18.37
2025-08-19T14:23:45+01:00  14:23:45 up 2 days,  1:09,  1 user,  load average: 19.42, 17.11, 18.27
2025-08-19T14:23:50+01:00  14:23:50 up 2 days,  1:09,  1 user,  load average: 17.95, 16.84, 18.18
2025-08-19T14:23:55+01:00  14:23:55 up 2 days,  1:09,  1 user,  load average: 18.91, 17.06, 18.25
2025-08-19T14:24:00+01:00  14:24:00 up 2 days,  1:09,  1 user,  load average: 18.36, 16.97, 18.21
2025-08-19T14:24:05+01:00  14:24:05 up 2 days,  1:09,  1 user,  load average: 17.93, 16.91, 18.18
2025-08-19T14:24:10+01:00  14:24:10 up 2 days,  1:09,  1 user,  load average: 19.30, 17.21, 18.27
2025-08-19T14:24:15+01:00  14:24:15 up 2 days,  1:09,  1 user,  load average: 17.91, 16.96, 18.19
2025-08-19T14:24:20+01:00  14:24:20 up 2 days,  1:09,  1 user,  load average: 18.00, 16.99, 18.19
2025-08-19T14:24:25+01:00  14:24:25 up 2 days,  1:10,  1 user,  load average: 18.08, 17.02, 18.19
2025-08-19T14:24:31+01:00  14:24:31 up 2 days,  1:10,  1 user,  load average: 19.03, 17.24, 18.26
2025-08-19T14:24:36+01:00  14:24:36 up 2 days,  1:10,  1 user,  load average: 19.59, 17.38, 18.30
2025-08-19T14:24:41+01:00  14:24:41 up 2 days,  1:10,  1 user,  load average: 19.79, 17.46, 18.32
2025-08-19T14:24:46+01:00  14:24:46 up 2 days,  1:10,  1 user,  load average: 21.00, 17.75, 18.41
2025-08-19T14:24:51+01:00  14:24:51 up 2 days,  1:10,  1 user,  load average: 21.88, 17.99, 18.48
2025-08-19T14:24:56+01:00  14:24:56 up 2 days,  1:10,  1 user,  load average: 24.30, 18.55, 18.66
2025-08-19T14:25:01+01:00  14:25:01 up 2 days,  1:10,  1 user,  load average: 23.95, 18.58, 18.67
2025-08-19T14:25:06+01:00  14:25:06 up 2 days,  1:10,  1 user,  load average: 23.23, 18.52, 18.65
2025-08-19T14:25:11+01:00  14:25:11 up 2 days,  1:10,  1 user,  load average: 23.86, 18.73, 18.72
2025-08-19T14:25:16+01:00  14:25:16 up 2 days,  1:10,  1 user,  load average: 24.67, 18.98, 18.80
2025-08-19T14:25:21+01:00  14:25:21 up 2 days,  1:10,  1 user,  load average: 24.22, 18.98, 18.80
2025-08-19T14:25:26+01:00  14:25:26 up 2 days,  1:11,  1 user,  load average: 24.28, 19.08, 18.83
2025-08-19T14:25:31+01:00  14:25:31 up 2 days,  1:11,  1 user,  load average: 24.10, 19.13, 18.85
2025-08-19T14:25:36+01:00  14:25:36 up 2 days,  1:11,  1 user,  load average: 25.45, 19.49, 18.97
2025-08-19T14:25:41+01:00  14:25:41 up 2 days,  1:11,  1 user,  load average: 25.65, 19.64, 19.02
2025-08-19T14:25:46+01:00  14:25:46 up 2 days,  1:11,  1 user,  load average: 26.16, 19.84, 19.09
2025-08-19T14:25:51+01:00  14:25:51 up 2 days,  1:11,  1 user,  load average: 26.71, 20.06, 19.16
2025-08-19T14:25:56+01:00  14:25:56 up 2 days,  1:11,  1 user,  load average: 28.02, 20.44, 19.29
2025-08-19T14:26:01+01:00  14:26:01 up 2 days,  1:11,  1 user,  load average: 27.93, 20.55, 19.33
2025-08-19T14:26:06+01:00  14:26:06 up 2 days,  1:11,  1 user,  load average: 28.74, 20.84, 19.43
2025-08-19T14:26:11+01:00  14:26:11 up 2 days,  1:11,  1 user,  load average: 28.36, 20.89, 19.46
2025-08-19T14:26:16+01:00  14:26:16 up 2 days,  1:11,  1 user,  load average: 28.97, 21.14, 19.55
2025-08-19T14:26:21+01:00  14:26:21 up 2 days,  1:11,  1 user,  load average: 29.13, 21.31, 19.61
2025-08-19T14:26:26+01:00  14:26:26 up 2 days,  1:12,  1 user,  load average: 28.24, 21.25, 19.60
2025-08-19T14:26:31+01:00  14:26:31 up 2 days,  1:12,  1 user,  load average: 27.90, 21.30, 19.63
2025-08-19T14:26:36+01:00  14:26:36 up 2 days,  1:12,  1 user,  load average: 27.59, 21.34, 19.65
2025-08-19T14:26:41+01:00  14:26:41 up 2 days,  1:12,  1 user,  load average: 27.62, 21.45, 19.69
2025-08-19T14:26:46+01:00  14:26:46 up 2 days,  1:12,  1 user,  load average: 26.93, 21.41, 19.69
2025-08-19T14:26:51+01:00  14:26:51 up 2 days,  1:12,  1 user,  load average: 25.90, 21.29, 19.66
2025-08-19T14:26:56+01:00  14:26:56 up 2 days,  1:12,  1 user,  load average: 23.98, 20.97, 19.56
2025-08-19T14:27:01+01:00  14:27:01 up 2 days,  1:12,  1 user,  load average: 22.14, 20.64, 19.46
2025-08-19T14:27:06+01:00  14:27:06 up 2 days,  1:12,  1 user,  load average: 23.09, 20.86, 19.54
2025-08-19T14:27:11+01:00  14:27:11 up 2 days,  1:12,  1 user,  load average: 22.36, 20.75, 19.51
2025-08-19T14:27:16+01:00  14:27:16 up 2 days,  1:12,  1 user,  load average: 23.22, 20.95, 19.59
2025-08-19T14:27:21+01:00  14:27:21 up 2 days,  1:12,  1 user,  load average: 22.16, 20.77, 19.53
2025-08-19T14:27:26+01:00  14:27:26 up 2 days,  1:13,  1 user,  load average: 23.35, 21.04, 19.63
2025-08-19T14:27:31+01:00  14:27:31 up 2 days,  1:13,  1 user,  load average: 22.04, 20.80, 19.56
2025-08-19T14:27:36+01:00  14:27:36 up 2 days,  1:13,  1 user,  load average: 22.91, 21.01, 19.63
2025-08-19T14:27:41+01:00  14:27:41 up 2 days,  1:13,  1 user,  load average: 23.96, 21.25, 19.72
2025-08-19T14:27:46+01:00  14:27:46 up 2 days,  1:13,  1 user,  load average: 23.08, 21.12, 19.68
