2025-08-15T09:55:50+01:00  09:55:50 up 7 days, 28 min,  1 user,  load average: 3.33, 3.46, 3.53
2025-08-15T09:58:11+01:00  09:58:11 up 7 days, 30 min,  1 user,  load average: 4.05, 3.73, 3.63
2025-08-15T09:58:16+01:00  09:58:16 up 7 days, 30 min,  1 user,  load average: 4.52, 3.84, 3.66
2025-08-15T09:58:21+01:00  09:58:21 up 7 days, 30 min,  1 user,  load average: 4.80, 3.91, 3.69
2025-08-15T09:58:26+01:00  09:58:26 up 7 days, 30 min,  1 user,  load average: 4.66, 3.89, 3.68
2025-08-15T09:58:31+01:00  09:58:31 up 7 days, 30 min,  1 user,  load average: 4.37, 3.84, 3.67
2025-08-15T09:58:36+01:00  09:58:36 up 7 days, 31 min,  1 user,  load average: 4.18, 3.81, 3.66
2025-08-15T09:58:41+01:00  09:58:41 up 7 days, 31 min,  1 user,  load average: 3.92, 3.77, 3.64
2025-08-15T09:58:46+01:00  09:58:46 up 7 days, 31 min,  1 user,  load average: 4.17, 3.82, 3.66
2025-08-15T09:58:51+01:00  09:58:51 up 7 days, 31 min,  1 user,  load average: 4.72, 3.94, 3.70
2025-08-15T09:58:56+01:00  09:58:56 up 7 days, 31 min,  1 user,  load average: 5.22, 4.06, 3.74
2025-08-15T09:59:01+01:00  09:59:01 up 7 days, 31 min,  1 user,  load average: 5.92, 4.22, 3.80
2025-08-15T09:59:06+01:00  09:59:06 up 7 days, 31 min,  1 user,  load average: 5.61, 4.19, 3.79
2025-08-15T09:59:11+01:00  09:59:11 up 7 days, 31 min,  1 user,  load average: 5.96, 4.28, 3.82
2025-08-15T09:59:16+01:00  09:59:16 up 7 days, 31 min,  1 user,  load average: 6.28, 4.38, 3.85
2025-08-15T09:59:21+01:00  09:59:21 up 7 days, 31 min,  1 user,  load average: 6.26, 4.41, 3.87
2025-08-15T09:59:26+01:00  09:59:26 up 7 days, 31 min,  1 user,  load average: 6.96, 4.58, 3.93
2025-08-15T09:59:31+01:00  09:59:31 up 7 days, 31 min,  1 user,  load average: 6.96, 4.62, 3.94
2025-08-15T09:59:36+01:00  09:59:36 up 7 days, 32 min,  1 user,  load average: 6.73, 4.61, 3.94
2025-08-15T09:59:41+01:00  09:59:41 up 7 days, 32 min,  1 user,  load average: 6.51, 4.60, 3.94
2025-08-15T09:59:46+01:00  09:59:46 up 7 days, 32 min,  1 user,  load average: 6.55, 4.64, 3.96
2025-08-15T09:59:51+01:00  09:59:51 up 7 days, 32 min,  1 user,  load average: 6.58, 4.68, 3.98
2025-08-15T09:59:56+01:00  09:59:56 up 7 days, 32 min,  1 user,  load average: 7.98, 5.00, 4.08
2025-08-15T10:00:01+01:00  10:00:01 up 7 days, 32 min,  1 user,  load average: 7.82, 5.02, 4.10
2025-08-15T10:00:06+01:00  10:00:06 up 7 days, 32 min,  1 user,  load average: 8.24, 5.15, 4.14
2025-08-15T10:00:11+01:00  10:00:11 up 7 days, 32 min,  1 user,  load average: 8.06, 5.17, 4.15
2025-08-15T10:00:16+01:00  10:00:16 up 7 days, 32 min,  1 user,  load average: 8.13, 5.23, 4.18
2025-08-15T10:00:21+01:00  10:00:21 up 7 days, 32 min,  1 user,  load average: 7.96, 5.24, 4.19
2025-08-15T10:00:26+01:00  10:00:26 up 7 days, 32 min,  1 user,  load average: 8.28, 5.35, 4.23
2025-08-15T10:00:31+01:00  10:00:31 up 7 days, 32 min,  1 user,  load average: 7.70, 5.28, 4.21
2025-08-15T10:00:36+01:00  10:00:36 up 7 days, 33 min,  1 user,  load average: 8.53, 5.49, 4.29
2025-08-15T10:00:41+01:00  10:00:41 up 7 days, 33 min,  1 user,  load average: 7.92, 5.42, 4.27
2025-08-15T10:00:46+01:00  10:00:46 up 7 days, 33 min,  1 user,  load average: 7.69, 5.41, 4.28
2025-08-15T10:00:51+01:00  10:00:51 up 7 days, 33 min,  1 user,  load average: 7.15, 5.34, 4.26
2025-08-15T10:00:56+01:00  10:00:56 up 7 days, 33 min,  1 user,  load average: 7.38, 5.42, 4.29
2025-08-15T10:01:01+01:00  10:01:01 up 7 days, 33 min,  1 user,  load average: 6.79, 5.33, 4.27
2025-08-15T10:01:06+01:00  10:01:06 up 7 days, 33 min,  1 user,  load average: 6.89, 5.37, 4.29
2025-08-15T10:01:11+01:00  10:01:11 up 7 days, 33 min,  1 user,  load average: 6.58, 5.33, 4.28
2025-08-15T10:01:16+01:00  10:01:16 up 7 days, 33 min,  1 user,  load average: 6.53, 5.34, 4.29
2025-08-15T10:01:21+01:00  10:01:21 up 7 days, 33 min,  1 user,  load average: 6.17, 5.29, 4.27
2025-08-15T10:01:26+01:00  10:01:26 up 7 days, 33 min,  1 user,  load average: 7.11, 5.50, 4.35
2025-08-15T10:01:31+01:00  10:01:31 up 7 days, 33 min,  1 user,  load average: 6.86, 5.47, 4.35
2025-08-15T10:01:36+01:00  10:01:36 up 7 days, 34 min,  1 user,  load average: 7.84, 5.70, 4.43
2025-08-15T10:01:41+01:00  10:01:41 up 7 days, 34 min,  1 user,  load average: 7.29, 5.62, 4.41
2025-08-15T10:01:46+01:00  10:01:46 up 7 days, 34 min,  1 user,  load average: 6.79, 5.54, 4.39
2025-08-15T10:01:51+01:00  10:01:51 up 7 days, 34 min,  1 user,  load average: 6.32, 5.47, 4.37
2025-08-15T10:01:56+01:00  10:01:56 up 7 days, 34 min,  1 user,  load average: 6.14, 5.44, 4.37
2025-08-15T10:02:01+01:00  10:02:01 up 7 days, 34 min,  1 user,  load average: 5.95, 5.43, 4.37
2025-08-15T10:02:06+01:00  10:02:06 up 7 days, 34 min,  1 user,  load average: 5.80, 5.40, 4.37
2025-08-15T10:02:11+01:00  10:02:11 up 7 days, 34 min,  1 user,  load average: 5.65, 5.38, 4.37
2025-08-15T10:02:16+01:00  10:02:16 up 7 days, 34 min,  1 user,  load average: 5.28, 5.31, 4.35
2025-08-15T10:02:21+01:00  10:02:21 up 7 days, 34 min,  1 user,  load average: 5.10, 5.27, 4.34
2025-08-15T10:02:26+01:00  10:02:26 up 7 days, 34 min,  1 user,  load average: 6.93, 5.65, 4.47
2025-08-15T10:02:31+01:00  10:02:31 up 7 days, 34 min,  1 user,  load average: 6.54, 5.58, 4.46
2025-08-15T10:02:36+01:00  10:02:36 up 7 days, 35 min,  1 user,  load average: 6.25, 5.54, 4.45
2025-08-15T10:02:41+01:00  10:02:41 up 7 days, 35 min,  1 user,  load average: 6.31, 5.57, 4.46
2025-08-15T10:02:46+01:00  10:02:46 up 7 days, 35 min,  1 user,  load average: 5.81, 5.47, 4.44
2025-08-15T10:02:51+01:00  10:02:51 up 7 days, 35 min,  1 user,  load average: 5.50, 5.42, 4.43
2025-08-15T10:02:56+01:00  10:02:56 up 7 days, 35 min,  1 user,  load average: 5.30, 5.37, 4.42
2025-08-15T10:03:01+01:00  10:03:01 up 7 days, 35 min,  1 user,  load average: 5.36, 5.39, 4.43
2025-08-15T10:03:06+01:00  10:03:06 up 7 days, 35 min,  1 user,  load average: 5.01, 5.31, 4.41
2025-08-15T10:03:11+01:00  10:03:11 up 7 days, 35 min,  1 user,  load average: 4.61, 5.22, 4.38
2025-08-15T10:03:16+01:00  10:03:16 up 7 days, 35 min,  1 user,  load average: 4.64, 5.22, 4.39
2025-08-15T10:03:21+01:00  10:03:21 up 7 days, 35 min,  1 user,  load average: 5.07, 5.30, 4.42
2025-08-15T10:03:26+01:00  10:03:26 up 7 days, 35 min,  1 user,  load average: 5.62, 5.41, 4.46
2025-08-15T10:03:31+01:00  10:03:31 up 7 days, 35 min,  1 user,  load average: 5.41, 5.37, 4.45
2025-08-15T10:03:36+01:00  10:03:36 up 7 days, 36 min,  1 user,  load average: 5.62, 5.41, 4.47
2025-08-15T10:03:41+01:00  10:03:41 up 7 days, 36 min,  1 user,  load average: 6.05, 5.51, 4.50
2025-08-15T10:03:46+01:00  10:03:46 up 7 days, 36 min,  1 user,  load average: 5.89, 5.48, 4.50
2025-08-15T10:03:51+01:00  10:03:51 up 7 days, 36 min,  1 user,  load average: 5.90, 5.49, 4.51
2025-08-15T10:03:56+01:00  10:03:56 up 7 days, 36 min,  1 user,  load average: 6.39, 5.60, 4.55
2025-08-15T10:04:01+01:00  10:04:01 up 7 days, 36 min,  1 user,  load average: 7.40, 5.82, 4.63
2025-08-15T10:04:06+01:00  10:04:06 up 7 days, 36 min,  1 user,  load average: 7.12, 5.79, 4.62
2025-08-15T10:04:11+01:00  10:04:11 up 7 days, 36 min,  1 user,  load average: 7.27, 5.85, 4.65
2025-08-15T10:04:16+01:00  10:04:16 up 7 days, 36 min,  1 user,  load average: 7.81, 5.98, 4.70
2025-08-15T10:04:21+01:00  10:04:21 up 7 days, 36 min,  1 user,  load average: 8.15, 6.08, 4.74
2025-08-15T10:04:26+01:00  10:04:26 up 7 days, 36 min,  1 user,  load average: 7.50, 5.98, 4.71
2025-08-15T10:04:31+01:00  10:04:31 up 7 days, 36 min,  1 user,  load average: 7.78, 6.06, 4.75
2025-08-15T10:04:36+01:00  10:04:36 up 7 days, 37 min,  1 user,  load average: 7.63, 6.06, 4.75
2025-08-15T10:04:41+01:00  10:04:41 up 7 days, 37 min,  1 user,  load average: 7.82, 6.13, 4.78
2025-08-15T10:04:46+01:00  10:04:46 up 7 days, 37 min,  1 user,  load average: 7.68, 6.13, 4.79
2025-08-15T10:04:51+01:00  10:04:51 up 7 days, 37 min,  1 user,  load average: 8.02, 6.22, 4.83
2025-08-15T10:04:56+01:00  10:04:56 up 7 days, 37 min,  1 user,  load average: 8.10, 6.27, 4.85
2025-08-15T10:05:01+01:00  10:05:01 up 7 days, 37 min,  1 user,  load average: 8.33, 6.35, 4.88
2025-08-15T10:05:06+01:00  10:05:06 up 7 days, 37 min,  1 user,  load average: 7.91, 6.29, 4.87
2025-08-15T10:05:11+01:00  10:05:11 up 7 days, 37 min,  1 user,  load average: 9.44, 6.64, 4.99
2025-08-15T10:05:16+01:00  10:05:16 up 7 days, 37 min,  1 user,  load average: 9.08, 6.61, 4.99
2025-08-15T10:05:21+01:00  10:05:21 up 7 days, 37 min,  1 user,  load average: 10.20, 6.88, 5.09
2025-08-15T10:05:26+01:00  10:05:26 up 7 days, 37 min,  1 user,  load average: 9.38, 6.77, 5.06
2025-08-15T10:05:31+01:00  10:05:31 up 7 days, 37 min,  1 user,  load average: 10.71, 7.09, 5.18
2025-08-15T10:05:36+01:00  10:05:36 up 7 days, 38 min,  1 user,  load average: 10.25, 7.05, 5.17
2025-08-15T10:05:41+01:00  10:05:41 up 7 days, 38 min,  1 user,  load average: 11.03, 7.27, 5.25
2025-08-15T10:05:46+01:00  10:05:46 up 7 days, 38 min,  1 user,  load average: 10.71, 7.26, 5.26
2025-08-15T10:05:51+01:00  10:05:51 up 7 days, 38 min,  1 user,  load average: 10.41, 7.26, 5.27
2025-08-15T10:05:56+01:00  10:05:56 up 7 days, 38 min,  1 user,  load average: 9.58, 7.14, 5.25
2025-08-15T10:06:01+01:00  10:06:01 up 7 days, 38 min,  1 user,  load average: 10.01, 7.27, 5.30
2025-08-15T10:06:06+01:00  10:06:07 up 7 days, 38 min,  1 user,  load average: 10.09, 7.33, 5.33
2025-08-15T10:06:12+01:00  10:06:12 up 7 days, 38 min,  1 user,  load average: 10.16, 7.39, 5.36
2025-08-15T10:06:17+01:00  10:06:17 up 7 days, 38 min,  1 user,  load average: 10.15, 7.43, 5.39
2025-08-15T10:06:22+01:00  10:06:22 up 7 days, 38 min,  1 user,  load average: 10.94, 7.64, 5.46
2025-08-15T10:06:27+01:00  10:06:27 up 7 days, 38 min,  1 user,  load average: 11.51, 7.82, 5.53
2025-08-15T10:06:32+01:00  10:06:32 up 7 days, 38 min,  1 user,  load average: 11.14, 7.80, 5.54
2025-08-15T10:06:37+01:00  10:06:37 up 7 days, 39 min,  1 user,  load average: 10.49, 7.72, 5.53
2025-08-15T10:06:42+01:00  10:06:42 up 7 days, 39 min,  1 user,  load average: 11.89, 8.06, 5.65
2025-08-15T10:06:47+01:00  10:06:47 up 7 days, 39 min,  1 user,  load average: 12.30, 8.21, 5.71
2025-08-15T10:06:52+01:00  10:06:52 up 7 days, 39 min,  1 user,  load average: 13.24, 8.47, 5.81
2025-08-15T10:06:57+01:00  10:06:57 up 7 days, 39 min,  1 user,  load average: 12.50, 8.40, 5.80
2025-08-15T10:07:02+01:00  10:07:02 up 7 days, 39 min,  1 user,  load average: 12.38, 8.44, 5.83
2025-08-15T10:07:07+01:00  10:07:07 up 7 days, 39 min,  1 user,  load average: 11.63, 8.35, 5.81
2025-08-15T10:07:12+01:00  10:07:12 up 7 days, 39 min,  1 user,  load average: 12.38, 8.56, 5.89
2025-08-15T10:07:17+01:00  10:07:17 up 7 days, 39 min,  1 user,  load average: 11.39, 8.42, 5.86
2025-08-15T10:07:22+01:00  10:07:22 up 7 days, 39 min,  1 user,  load average: 12.16, 8.63, 5.94
2025-08-15T10:07:27+01:00  10:07:27 up 7 days, 39 min,  1 user,  load average: 11.82, 8.62, 5.95
2025-08-15T10:07:32+01:00  10:07:32 up 7 days, 39 min,  1 user,  load average: 11.76, 8.66, 5.98
2025-08-15T10:07:37+01:00  10:07:37 up 7 days, 40 min,  1 user,  load average: 11.46, 8.64, 5.99
2025-08-15T10:07:42+01:00  10:07:42 up 7 days, 40 min,  1 user,  load average: 12.14, 8.83, 6.07
2025-08-15T10:07:47+01:00  10:07:47 up 7 days, 40 min,  1 user,  load average: 11.41, 8.74, 6.05
2025-08-15T10:07:52+01:00  10:07:52 up 7 days, 40 min,  1 user,  load average: 11.46, 8.79, 6.08
2025-08-15T10:07:57+01:00  10:07:57 up 7 days, 40 min,  1 user,  load average: 10.62, 8.66, 6.06
2025-08-15T10:08:02+01:00  10:08:02 up 7 days, 40 min,  1 user,  load average: 10.81, 8.73, 6.09
2025-08-15T10:08:07+01:00  10:08:07 up 7 days, 40 min,  1 user,  load average: 10.02, 8.60, 6.06
2025-08-15T10:08:12+01:00  10:08:12 up 7 days, 40 min,  1 user,  load average: 9.46, 8.51, 6.05
2025-08-15T10:08:17+01:00  10:08:17 up 7 days, 40 min,  1 user,  load average: 9.58, 8.55, 6.08
2025-08-15T10:08:22+01:00  10:08:22 up 7 days, 40 min,  1 user,  load average: 11.06, 8.88, 6.19
2025-08-15T10:08:27+01:00  10:08:27 up 7 days, 40 min,  1 user,  load average: 11.38, 8.98, 6.24
2025-08-15T10:08:32+01:00  10:08:32 up 7 days, 40 min,  1 user,  load average: 11.27, 9.00, 6.26
2025-08-15T10:08:37+01:00  10:08:37 up 7 days, 41 min,  1 user,  load average: 10.44, 8.86, 6.23
2025-08-15T10:08:42+01:00  10:08:42 up 7 days, 41 min,  1 user,  load average: 11.13, 9.03, 6.30
2025-08-15T10:08:47+01:00  10:08:47 up 7 days, 41 min,  1 user,  load average: 10.72, 8.98, 6.30
2025-08-15T10:08:52+01:00  10:08:52 up 7 days, 41 min,  1 user,  load average: 11.62, 9.20, 6.38
2025-08-15T10:08:57+01:00  10:08:57 up 7 days, 41 min,  1 user,  load average: 12.13, 9.34, 6.45
2025-08-15T10:09:02+01:00  10:09:02 up 7 days, 41 min,  1 user,  load average: 12.04, 9.37, 6.47
2025-08-15T10:09:07+01:00  10:09:07 up 7 days, 41 min,  1 user,  load average: 11.16, 9.23, 6.44
2025-08-15T10:09:12+01:00  10:09:12 up 7 days, 41 min,  1 user,  load average: 10.82, 9.19, 6.45
2025-08-15T10:09:17+01:00  10:09:17 up 7 days, 41 min,  1 user,  load average: 11.00, 9.26, 6.48
2025-08-15T10:09:22+01:00  10:09:22 up 7 days, 41 min,  1 user,  load average: 11.88, 9.47, 6.56
2025-08-15T10:09:27+01:00  10:09:27 up 7 days, 41 min,  1 user,  load average: 11.49, 9.43, 6.57
2025-08-15T10:09:32+01:00  10:09:32 up 7 days, 41 min,  1 user,  load average: 10.89, 9.34, 6.55
2025-08-15T10:09:37+01:00  10:09:37 up 7 days, 42 min,  1 user,  load average: 10.74, 9.33, 6.57
2025-08-15T10:09:42+01:00  10:09:42 up 7 days, 42 min,  1 user,  load average: 10.36, 9.28, 6.56
2025-08-15T10:09:47+01:00  10:09:47 up 7 days, 42 min,  1 user,  load average: 9.93, 9.21, 6.55
2025-08-15T10:09:52+01:00  10:09:52 up 7 days, 42 min,  1 user,  load average: 9.77, 9.19, 6.56
2025-08-15T10:09:57+01:00  10:09:57 up 7 days, 42 min,  1 user,  load average: 9.15, 9.07, 6.54
2025-08-15T10:10:02+01:00  10:10:02 up 7 days, 42 min,  1 user,  load average: 8.58, 8.95, 6.51
2025-08-15T10:10:07+01:00  10:10:07 up 7 days, 42 min,  1 user,  load average: 8.85, 9.00, 6.54
2025-08-15T10:10:12+01:00  10:10:12 up 7 days, 42 min,  1 user,  load average: 8.62, 8.95, 6.54
2025-08-15T10:10:17+01:00  10:10:17 up 7 days, 42 min,  1 user,  load average: 8.33, 8.88, 6.53
2025-08-15T10:10:22+01:00  10:10:22 up 7 days, 42 min,  1 user,  load average: 8.63, 8.93, 6.56
2025-08-15T10:10:27+01:00  10:10:27 up 7 days, 42 min,  1 user,  load average: 8.10, 8.82, 6.54
2025-08-15T10:10:32+01:00  10:10:32 up 7 days, 42 min,  1 user,  load average: 7.85, 8.76, 6.53
2025-08-15T10:10:37+01:00  10:10:37 up 7 days, 43 min,  1 user,  load average: 7.46, 8.66, 6.51
2025-08-15T10:10:42+01:00  10:10:42 up 7 days, 43 min,  1 user,  load average: 7.02, 8.55, 6.48
2025-08-15T10:10:47+01:00  10:10:47 up 7 days, 43 min,  1 user,  load average: 7.42, 8.61, 6.51
2025-08-15T10:10:52+01:00  10:10:52 up 7 days, 43 min,  1 user,  load average: 6.99, 8.50, 6.49
2025-08-15T10:10:57+01:00  10:10:57 up 7 days, 43 min,  1 user,  load average: 7.07, 8.49, 6.50
2025-08-15T10:11:02+01:00  10:11:02 up 7 days, 43 min,  1 user,  load average: 8.02, 8.66, 6.56
2025-08-15T10:11:07+01:00  10:11:07 up 7 days, 43 min,  1 user,  load average: 7.78, 8.60, 6.56
2025-08-15T10:11:12+01:00  10:11:12 up 7 days, 43 min,  1 user,  load average: 9.00, 8.84, 6.64
2025-08-15T10:11:17+01:00  10:11:17 up 7 days, 43 min,  1 user,  load average: 8.92, 8.83, 6.65
2025-08-15T10:11:22+01:00  10:11:22 up 7 days, 43 min,  1 user,  load average: 9.01, 8.85, 6.67
2025-08-15T10:11:27+01:00  10:11:27 up 7 days, 43 min,  1 user,  load average: 9.17, 8.88, 6.69
2025-08-15T10:11:32+01:00  10:11:32 up 7 days, 43 min,  1 user,  load average: 8.59, 8.77, 6.67
2025-08-15T10:11:37+01:00  10:11:37 up 7 days, 44 min,  1 user,  load average: 8.30, 8.71, 6.66
2025-08-15T10:11:42+01:00  10:11:42 up 7 days, 44 min,  1 user,  load average: 7.96, 8.63, 6.64
2025-08-15T10:11:47+01:00  10:11:47 up 7 days, 44 min,  1 user,  load average: 7.48, 8.52, 6.62
2025-08-15T10:11:52+01:00  10:11:52 up 7 days, 44 min,  1 user,  load average: 9.04, 8.82, 6.73
2025-08-15T10:11:57+01:00  10:11:57 up 7 days, 44 min,  1 user,  load average: 8.48, 8.71, 6.70
2025-08-15T10:12:02+01:00  10:12:02 up 7 days, 44 min,  1 user,  load average: 8.04, 8.62, 6.68
2025-08-15T10:12:07+01:00  10:12:07 up 7 days, 44 min,  1 user,  load average: 7.56, 8.51, 6.66
2025-08-15T10:12:12+01:00  10:12:12 up 7 days, 44 min,  1 user,  load average: 7.11, 8.40, 6.63
2025-08-15T10:12:17+01:00  10:12:17 up 7 days, 44 min,  1 user,  load average: 7.50, 8.46, 6.66
2025-08-15T10:12:22+01:00  10:12:22 up 7 days, 44 min,  1 user,  load average: 7.46, 8.43, 6.66
2025-08-15T10:12:27+01:00  10:12:27 up 7 days, 44 min,  1 user,  load average: 8.47, 8.62, 6.73
2025-08-15T10:12:32+01:00  10:12:32 up 7 days, 44 min,  1 user,  load average: 8.19, 8.56, 6.72
2025-08-15T10:12:37+01:00  10:12:37 up 7 days, 45 min,  1 user,  load average: 8.74, 8.67, 6.77
2025-08-15T10:12:42+01:00  10:12:42 up 7 days, 45 min,  1 user,  load average: 10.28, 8.99, 6.88
2025-08-15T10:12:47+01:00  10:12:47 up 7 days, 45 min,  1 user,  load average: 10.10, 8.98, 6.89
2025-08-15T10:12:52+01:00  10:12:52 up 7 days, 45 min,  1 user,  load average: 10.81, 9.14, 6.96
2025-08-15T10:12:57+01:00  10:12:57 up 7 days, 45 min,  1 user,  load average: 10.34, 9.07, 6.95
2025-08-15T10:13:02+01:00  10:13:02 up 7 days, 45 min,  1 user,  load average: 10.00, 9.02, 6.94
2025-08-15T10:13:07+01:00  10:13:07 up 7 days, 45 min,  1 user,  load average: 10.08, 9.06, 6.96
2025-08-15T10:13:12+01:00  10:13:12 up 7 days, 45 min,  1 user,  load average: 11.27, 9.32, 7.06
2025-08-15T10:13:17+01:00  10:13:17 up 7 days, 45 min,  1 user,  load average: 11.09, 9.32, 7.07
2025-08-15T10:13:22+01:00  10:13:22 up 7 days, 45 min,  1 user,  load average: 10.36, 9.19, 7.04
2025-08-15T10:13:27+01:00  10:13:27 up 7 days, 45 min,  1 user,  load average: 9.77, 9.09, 7.02
2025-08-15T10:13:32+01:00  10:13:32 up 7 days, 45 min,  1 user,  load average: 9.63, 9.07, 7.03
2025-08-15T10:13:37+01:00  10:13:37 up 7 days, 46 min,  1 user,  load average: 10.38, 9.24, 7.09
2025-08-15T10:13:42+01:00  10:13:42 up 7 days, 46 min,  1 user,  load average: 10.51, 9.28, 7.12
2025-08-15T10:13:47+01:00  10:13:47 up 7 days, 46 min,  1 user,  load average: 10.71, 9.35, 7.15
2025-08-15T10:13:52+01:00  10:13:52 up 7 days, 46 min,  1 user,  load average: 10.49, 9.32, 7.15
2025-08-15T10:13:57+01:00  10:13:57 up 7 days, 46 min,  1 user,  load average: 10.37, 9.32, 7.16
2025-08-15T10:14:02+01:00  10:14:02 up 7 days, 46 min,  1 user,  load average: 9.86, 9.23, 7.15
2025-08-15T10:14:07+01:00  10:14:07 up 7 days, 46 min,  1 user,  load average: 9.31, 9.13, 7.12
2025-08-15T10:14:12+01:00  10:14:12 up 7 days, 46 min,  1 user,  load average: 9.53, 9.17, 7.15
2025-08-15T10:14:18+01:00  10:14:18 up 7 days, 46 min,  1 user,  load average: 8.76, 9.02, 7.11
2025-08-15T10:14:23+01:00  10:14:23 up 7 days, 46 min,  1 user,  load average: 8.54, 8.97, 7.11
2025-08-15T10:14:28+01:00  10:14:28 up 7 days, 46 min,  1 user,  load average: 8.74, 9.00, 7.13
2025-08-15T10:14:33+01:00  10:14:33 up 7 days, 46 min,  1 user,  load average: 9.16, 9.09, 7.16
2025-08-15T10:14:38+01:00  10:14:38 up 7 days, 47 min,  1 user,  load average: 9.15, 9.09, 7.17
2025-08-15T10:14:43+01:00  10:14:43 up 7 days, 47 min,  1 user,  load average: 10.02, 9.27, 7.24
2025-08-15T10:14:48+01:00  10:14:48 up 7 days, 47 min,  1 user,  load average: 10.82, 9.45, 7.31
2025-08-15T10:14:53+01:00  10:14:53 up 7 days, 47 min,  1 user,  load average: 10.35, 9.37, 7.30
2025-08-15T10:14:58+01:00  10:14:58 up 7 days, 47 min,  1 user,  load average: 9.60, 9.23, 7.27
2025-08-15T10:15:03+01:00  10:15:03 up 7 days, 47 min,  1 user,  load average: 9.39, 9.20, 7.26
2025-08-15T10:15:08+01:00  10:15:08 up 7 days, 47 min,  1 user,  load average: 9.28, 9.18, 7.27
2025-08-15T10:15:13+01:00  10:15:13 up 7 days, 47 min,  1 user,  load average: 9.02, 9.12, 7.26
2025-08-15T10:15:18+01:00  10:15:18 up 7 days, 47 min,  1 user,  load average: 8.38, 8.99, 7.23
2025-08-15T10:15:23+01:00  10:15:23 up 7 days, 47 min,  1 user,  load average: 8.19, 8.94, 7.22
2025-08-15T10:15:28+01:00  10:15:28 up 7 days, 47 min,  1 user,  load average: 7.61, 8.81, 7.19
2025-08-15T10:15:33+01:00  10:15:33 up 7 days, 47 min,  1 user,  load average: 7.24, 8.71, 7.16
2025-08-15T10:15:38+01:00  10:15:38 up 7 days, 48 min,  1 user,  load average: 7.22, 8.68, 7.16
2025-08-15T10:15:43+01:00  10:15:43 up 7 days, 48 min,  1 user,  load average: 7.52, 8.72, 7.18
2025-08-15T10:15:48+01:00  10:15:48 up 7 days, 48 min,  1 user,  load average: 7.16, 8.62, 7.16
