2025-08-29T13:13:27+01:00  13:13:27 up 11 days, 23:59,  1 user,  load average: 0.73, 7.60, 14.75
2025-08-29T13:18:53+01:00  13:18:53 up 12 days, 4 min,  1 user,  load average: 7.87, 6.83, 12.17
2025-08-29T13:18:58+01:00  13:18:58 up 12 days, 4 min,  1 user,  load average: 7.64, 6.80, 12.13
2025-08-29T13:19:03+01:00  13:19:03 up 12 days, 4 min,  1 user,  load average: 7.35, 6.75, 12.08
2025-08-29T13:19:08+01:00  13:19:08 up 12 days, 4 min,  1 user,  load average: 7.32, 6.76, 12.06
2025-08-29T13:19:13+01:00  13:19:13 up 12 days, 4 min,  1 user,  load average: 7.30, 6.76, 12.03
2025-08-29T13:19:18+01:00  13:19:18 up 12 days, 4 min,  1 user,  load average: 7.35, 6.78, 12.01
2025-08-29T13:19:23+01:00  13:19:23 up 12 days, 4 min,  1 user,  load average: 7.01, 6.72, 11.96
2025-08-29T13:19:28+01:00  13:19:28 up 12 days, 5 min,  1 user,  load average: 7.73, 6.87, 11.98
2025-08-29T13:19:33+01:00  13:19:33 up 12 days, 5 min,  1 user,  load average: 7.19, 6.78, 11.92
2025-08-29T13:19:38+01:00  13:19:38 up 12 days, 5 min,  1 user,  load average: 6.85, 6.71, 11.87
2025-08-29T13:19:43+01:00  13:19:43 up 12 days, 5 min,  1 user,  load average: 6.38, 6.62, 11.81
2025-08-29T13:19:48+01:00  13:19:48 up 12 days, 5 min,  1 user,  load average: 6.27, 6.59, 11.78
2025-08-29T13:19:53+01:00  13:19:53 up 12 days, 5 min,  1 user,  load average: 5.77, 6.48, 11.71
2025-08-29T13:19:58+01:00  13:19:58 up 12 days, 5 min,  1 user,  load average: 6.35, 6.59, 11.72
2025-08-29T13:20:03+01:00  13:20:03 up 12 days, 5 min,  1 user,  load average: 5.84, 6.48, 11.66
2025-08-29T13:20:08+01:00  13:20:08 up 12 days, 5 min,  1 user,  load average: 6.25, 6.56, 11.65
2025-08-29T13:20:13+01:00  13:20:13 up 12 days, 5 min,  1 user,  load average: 6.07, 6.51, 11.61
2025-08-29T13:20:18+01:00  13:20:18 up 12 days, 5 min,  1 user,  load average: 6.87, 6.67, 11.64
2025-08-29T13:20:23+01:00  13:20:23 up 12 days, 5 min,  1 user,  load average: 6.40, 6.58, 11.58
2025-08-29T13:20:28+01:00  13:20:28 up 12 days, 6 min,  1 user,  load average: 7.25, 6.75, 11.61
2025-08-29T13:20:33+01:00  13:20:33 up 12 days, 6 min,  1 user,  load average: 7.79, 6.87, 11.62
2025-08-29T13:20:38+01:00  13:20:38 up 12 days, 6 min,  1 user,  load average: 7.56, 6.84, 11.59
2025-08-29T13:20:43+01:00  13:20:43 up 12 days, 6 min,  1 user,  load average: 7.44, 6.82, 11.56
2025-08-29T13:20:48+01:00  13:20:48 up 12 days, 6 min,  1 user,  load average: 8.53, 7.06, 11.61
2025-08-29T13:20:53+01:00  13:20:53 up 12 days, 6 min,  1 user,  load average: 9.12, 7.21, 11.63
2025-08-29T13:20:58+01:00  13:20:58 up 12 days, 6 min,  1 user,  load average: 8.47, 7.10, 11.57
2025-08-29T13:21:03+01:00  13:21:03 up 12 days, 6 min,  1 user,  load average: 8.11, 7.05, 11.53
2025-08-29T13:21:08+01:00  13:21:08 up 12 days, 6 min,  1 user,  load average: 9.31, 7.32, 11.59
2025-08-29T13:21:13+01:00  13:21:13 up 12 days, 6 min,  1 user,  load average: 9.04, 7.30, 11.56
2025-08-29T13:21:18+01:00  13:21:18 up 12 days, 6 min,  1 user,  load average: 9.28, 7.37, 11.57
2025-08-29T13:21:23+01:00  13:21:23 up 12 days, 6 min,  1 user,  load average: 8.94, 7.33, 11.53
2025-08-29T13:21:28+01:00  13:21:28 up 12 days, 7 min,  1 user,  load average: 9.18, 7.41, 11.53
2025-08-29T13:21:33+01:00  13:21:33 up 12 days, 7 min,  1 user,  load average: 9.17, 7.44, 11.52
2025-08-29T13:21:38+01:00  13:21:38 up 12 days, 7 min,  1 user,  load average: 9.95, 7.63, 11.56
2025-08-29T13:21:43+01:00  13:21:43 up 12 days, 7 min,  1 user,  load average: 9.32, 7.54, 11.51
2025-08-29T13:21:48+01:00  13:21:48 up 12 days, 7 min,  1 user,  load average: 9.85, 7.68, 11.53
2025-08-29T13:21:53+01:00  13:21:53 up 12 days, 7 min,  1 user,  load average: 10.67, 7.88, 11.58
2025-08-29T13:21:58+01:00  13:21:58 up 12 days, 7 min,  1 user,  load average: 10.45, 7.88, 11.56
2025-08-29T13:22:03+01:00  13:22:03 up 12 days, 7 min,  1 user,  load average: 10.82, 8.00, 11.58
2025-08-29T13:22:08+01:00  13:22:08 up 12 days, 7 min,  1 user,  load average: 11.39, 8.17, 11.61
2025-08-29T13:22:13+01:00  13:22:13 up 12 days, 7 min,  1 user,  load average: 10.56, 8.05, 11.56
2025-08-29T13:22:18+01:00  13:22:18 up 12 days, 7 min,  1 user,  load average: 10.51, 8.08, 11.55
2025-08-29T13:22:23+01:00  13:22:23 up 12 days, 7 min,  1 user,  load average: 10.71, 8.16, 11.55
2025-08-29T13:22:28+01:00  13:22:28 up 12 days, 8 min,  1 user,  load average: 11.06, 8.28, 11.57
2025-08-29T13:22:33+01:00  13:22:33 up 12 days, 8 min,  1 user,  load average: 10.73, 8.26, 11.55
2025-08-29T13:22:38+01:00  13:22:38 up 12 days, 8 min,  1 user,  load average: 11.55, 8.47, 11.60
2025-08-29T13:22:43+01:00  13:22:43 up 12 days, 8 min,  1 user,  load average: 10.79, 8.36, 11.55
2025-08-29T13:22:48+01:00  13:22:48 up 12 days, 8 min,  1 user,  load average: 11.53, 8.55, 11.59
2025-08-29T13:22:53+01:00  13:22:53 up 12 days, 8 min,  1 user,  load average: 11.32, 8.56, 11.58
2025-08-29T13:22:58+01:00  13:22:58 up 12 days, 8 min,  1 user,  load average: 11.62, 8.67, 11.60
2025-08-29T13:23:03+01:00  13:23:03 up 12 days, 8 min,  1 user,  load average: 10.69, 8.53, 11.53
2025-08-29T13:23:08+01:00  13:23:08 up 12 days, 8 min,  1 user,  load average: 10.47, 8.52, 11.52
2025-08-29T13:23:13+01:00  13:23:13 up 12 days, 8 min,  1 user,  load average: 10.27, 8.51, 11.50
2025-08-29T13:23:18+01:00  13:23:18 up 12 days, 8 min,  1 user,  load average: 10.17, 8.52, 11.48
2025-08-29T13:23:23+01:00  13:23:23 up 12 days, 8 min,  1 user,  load average: 10.32, 8.57, 11.49
2025-08-29T13:23:28+01:00  13:23:28 up 12 days, 9 min,  1 user,  load average: 11.01, 8.75, 11.53
2025-08-29T13:23:34+01:00  13:23:34 up 12 days, 9 min,  1 user,  load average: 10.93, 8.77, 11.52
2025-08-29T13:23:39+01:00  13:23:39 up 12 days, 9 min,  1 user,  load average: 11.82, 8.99, 11.57
2025-08-29T13:23:44+01:00  13:23:44 up 12 days, 9 min,  1 user,  load average: 11.35, 8.94, 11.54
2025-08-29T13:23:49+01:00  13:23:49 up 12 days, 9 min,  1 user,  load average: 11.56, 9.02, 11.56
2025-08-29T13:23:54+01:00  13:23:54 up 12 days, 9 min,  1 user,  load average: 12.96, 9.35, 11.65
2025-08-29T13:23:59+01:00  13:23:59 up 12 days, 9 min,  1 user,  load average: 12.16, 9.25, 11.60
2025-08-29T13:24:04+01:00  13:24:04 up 12 days, 9 min,  1 user,  load average: 12.31, 9.33, 11.62
2025-08-29T13:24:09+01:00  13:24:09 up 12 days, 9 min,  1 user,  load average: 12.29, 9.37, 11.62
2025-08-29T13:24:14+01:00  13:24:14 up 12 days, 9 min,  1 user,  load average: 12.10, 9.38, 11.61
2025-08-29T13:24:19+01:00  13:24:19 up 12 days, 9 min,  1 user,  load average: 12.01, 9.41, 11.61
2025-08-29T13:24:24+01:00  13:24:24 up 12 days, 9 min,  1 user,  load average: 12.57, 9.57, 11.65
2025-08-29T13:24:29+01:00  13:24:29 up 12 days, 10 min,  1 user,  load average: 12.85, 9.68, 11.67
2025-08-29T13:24:34+01:00  13:24:34 up 12 days, 10 min,  1 user,  load average: 12.70, 9.70, 11.67
2025-08-29T13:24:39+01:00  13:24:39 up 12 days, 10 min,  1 user,  load average: 14.09, 10.04, 11.77
2025-08-29T13:24:44+01:00  13:24:44 up 12 days, 10 min,  1 user,  load average: 14.08, 10.10, 11.78
2025-08-29T13:24:49+01:00  13:24:49 up 12 days, 10 min,  1 user,  load average: 13.59, 10.07, 11.76
2025-08-29T13:24:54+01:00  13:24:54 up 12 days, 10 min,  1 user,  load average: 13.30, 10.07, 11.75
2025-08-29T13:24:59+01:00  13:24:59 up 12 days, 10 min,  1 user,  load average: 13.68, 10.20, 11.78
2025-08-29T13:25:04+01:00  13:25:04 up 12 days, 10 min,  1 user,  load average: 13.63, 10.24, 11.79
2025-08-29T13:25:09+01:00  13:25:09 up 12 days, 10 min,  1 user,  load average: 14.86, 10.56, 11.88
2025-08-29T13:25:14+01:00  13:25:14 up 12 days, 10 min,  1 user,  load average: 15.27, 10.71, 11.93
2025-08-29T13:25:19+01:00  13:25:19 up 12 days, 10 min,  1 user,  load average: 14.37, 10.60, 11.88
2025-08-29T13:25:24+01:00  13:25:24 up 12 days, 10 min,  1 user,  load average: 14.42, 10.67, 11.90
2025-08-29T13:25:29+01:00  13:25:29 up 12 days, 11 min,  1 user,  load average: 14.54, 10.76, 11.92
2025-08-29T13:25:34+01:00  13:25:34 up 12 days, 11 min,  1 user,  load average: 14.18, 10.75, 11.91
2025-08-29T13:25:39+01:00  13:25:39 up 12 days, 11 min,  1 user,  load average: 13.76, 10.72, 11.90
2025-08-29T13:25:44+01:00  13:25:44 up 12 days, 11 min,  1 user,  load average: 13.38, 10.69, 11.88
2025-08-29T13:25:49+01:00  13:25:49 up 12 days, 11 min,  1 user,  load average: 12.95, 10.65, 11.86
2025-08-29T13:25:54+01:00  13:25:54 up 12 days, 11 min,  1 user,  load average: 13.36, 10.77, 11.89
2025-08-29T13:25:59+01:00  13:25:59 up 12 days, 11 min,  1 user,  load average: 12.45, 10.62, 11.84
2025-08-29T13:26:04+01:00  13:26:04 up 12 days, 11 min,  1 user,  load average: 11.85, 10.53, 11.80
2025-08-29T13:26:09+01:00  13:26:09 up 12 days, 11 min,  1 user,  load average: 11.94, 10.57, 11.81
2025-08-29T13:26:14+01:00  13:26:14 up 12 days, 11 min,  1 user,  load average: 11.07, 10.41, 11.75
2025-08-29T13:26:19+01:00  13:26:19 up 12 days, 11 min,  1 user,  load average: 10.18, 10.24, 11.69
2025-08-29T13:26:24+01:00  13:26:24 up 12 days, 11 min,  1 user,  load average: 10.73, 10.35, 11.72
2025-08-29T13:26:29+01:00  13:26:29 up 12 days, 12 min,  1 user,  load average: 10.67, 10.35, 11.71
2025-08-29T13:26:34+01:00  13:26:34 up 12 days, 12 min,  1 user,  load average: 10.85, 10.39, 11.71
2025-08-29T13:26:39+01:00  13:26:39 up 12 days, 12 min,  1 user,  load average: 10.31, 10.28, 11.67
2025-08-29T13:26:44+01:00  13:26:44 up 12 days, 12 min,  1 user,  load average: 10.76, 10.38, 11.70
2025-08-29T13:26:49+01:00  13:26:49 up 12 days, 12 min,  1 user,  load average: 10.06, 10.24, 11.64
2025-08-29T13:26:54+01:00  13:26:54 up 12 days, 12 min,  1 user,  load average: 10.14, 10.25, 11.64
2025-08-29T13:26:59+01:00  13:26:59 up 12 days, 12 min,  1 user,  load average: 9.48, 10.11, 11.59
2025-08-29T13:27:04+01:00  13:27:04 up 12 days, 12 min,  1 user,  load average: 9.68, 10.15, 11.59
2025-08-29T13:27:09+01:00  13:27:09 up 12 days, 12 min,  1 user,  load average: 9.47, 10.09, 11.56
2025-08-29T13:27:14+01:00  13:27:14 up 12 days, 12 min,  1 user,  load average: 9.91, 10.18, 11.58
2025-08-29T13:27:19+01:00  13:27:19 up 12 days, 12 min,  1 user,  load average: 10.48, 10.29, 11.61
2025-08-29T13:27:24+01:00  13:27:24 up 12 days, 12 min,  1 user,  load average: 10.84, 10.37, 11.63
2025-08-29T13:27:29+01:00  13:27:29 up 12 days, 13 min,  1 user,  load average: 10.86, 10.38, 11.63
2025-08-29T13:27:34+01:00  13:27:34 up 12 days, 13 min,  1 user,  load average: 11.83, 10.59, 11.69
2025-08-29T13:27:39+01:00  13:27:39 up 12 days, 13 min,  1 user,  load average: 11.36, 10.51, 11.66
2025-08-29T13:27:44+01:00  13:27:44 up 12 days, 13 min,  1 user,  load average: 11.09, 10.47, 11.64
2025-08-29T13:27:49+01:00  13:27:49 up 12 days, 13 min,  1 user,  load average: 10.28, 10.31, 11.58
2025-08-29T13:27:54+01:00  13:27:54 up 12 days, 13 min,  1 user,  load average: 10.90, 10.44, 11.62
2025-08-29T13:27:59+01:00  13:27:59 up 12 days, 13 min,  1 user,  load average: 10.59, 10.38, 11.59
2025-08-29T13:28:04+01:00  13:28:04 up 12 days, 13 min,  1 user,  load average: 11.18, 10.51, 11.63
2025-08-29T13:28:09+01:00  13:28:09 up 12 days, 13 min,  1 user,  load average: 10.45, 10.37, 11.57
2025-08-29T13:28:14+01:00  13:28:14 up 12 days, 13 min,  1 user,  load average: 11.05, 10.50, 11.61
2025-08-29T13:28:19+01:00  13:28:19 up 12 days, 13 min,  1 user,  load average: 10.49, 10.39, 11.57
2025-08-29T13:28:24+01:00  13:28:24 up 12 days, 13 min,  1 user,  load average: 9.97, 10.28, 11.53
2025-08-29T13:28:29+01:00  13:28:29 up 12 days, 14 min,  1 user,  load average: 9.17, 10.11, 11.46
2025-08-29T13:28:34+01:00  13:28:34 up 12 days, 14 min,  1 user,  load average: 9.40, 10.14, 11.47
2025-08-29T13:28:39+01:00  13:28:39 up 12 days, 14 min,  1 user,  load average: 9.04, 10.06, 11.43
2025-08-29T13:28:44+01:00  13:28:44 up 12 days, 14 min,  1 user,  load average: 9.60, 10.16, 11.46
2025-08-29T13:28:49+01:00  13:28:49 up 12 days, 14 min,  1 user,  load average: 9.47, 10.12, 11.44
2025-08-29T13:28:54+01:00  13:28:54 up 12 days, 14 min,  1 user,  load average: 10.00, 10.22, 11.46
2025-08-29T13:28:59+01:00  13:28:59 up 12 days, 14 min,  1 user,  load average: 10.16, 10.25, 11.47
2025-08-29T13:29:04+01:00  13:29:04 up 12 days, 14 min,  1 user,  load average: 10.62, 10.34, 11.49
2025-08-29T13:29:09+01:00  13:29:09 up 12 days, 14 min,  1 user,  load average: 10.33, 10.29, 11.47
2025-08-29T13:29:14+01:00  13:29:14 up 12 days, 14 min,  1 user,  load average: 10.79, 10.38, 11.49
2025-08-29T13:29:19+01:00  13:29:19 up 12 days, 14 min,  1 user,  load average: 10.97, 10.43, 11.50
2025-08-29T13:29:24+01:00  13:29:24 up 12 days, 14 min,  1 user,  load average: 10.81, 10.40, 11.48
2025-08-29T13:29:29+01:00  13:29:29 up 12 days, 15 min,  1 user,  load average: 9.94, 10.23, 11.42
2025-08-29T13:29:34+01:00  13:29:34 up 12 days, 15 min,  1 user,  load average: 9.55, 10.14, 11.39
2025-08-29T13:29:39+01:00  13:29:39 up 12 days, 15 min,  1 user,  load average: 9.26, 10.07, 11.36
2025-08-29T13:29:44+01:00  13:29:44 up 12 days, 15 min,  1 user,  load average: 9.72, 10.16, 11.38
2025-08-29T13:29:49+01:00  13:29:49 up 12 days, 15 min,  1 user,  load average: 11.11, 10.44, 11.46
2025-08-29T13:29:54+01:00  13:29:54 up 12 days, 15 min,  1 user,  load average: 11.34, 10.50, 11.47
2025-08-29T13:29:59+01:00  13:29:59 up 12 days, 15 min,  1 user,  load average: 12.43, 10.75, 11.55
2025-08-29T13:30:04+01:00  13:30:04 up 12 days, 15 min,  1 user,  load average: 11.91, 10.67, 11.52
2025-08-29T13:30:09+01:00  13:30:09 up 12 days, 15 min,  1 user,  load average: 12.32, 10.77, 11.55
2025-08-29T13:30:14+01:00  13:30:14 up 12 days, 15 min,  1 user,  load average: 12.46, 10.83, 11.56
2025-08-29T13:30:19+01:00  13:30:19 up 12 days, 15 min,  1 user,  load average: 12.90, 10.94, 11.59
2025-08-29T13:30:24+01:00  13:30:24 up 12 days, 15 min,  1 user,  load average: 12.99, 11.00, 11.61
2025-08-29T13:30:29+01:00  13:30:29 up 12 days, 16 min,  1 user,  load average: 12.99, 11.03, 11.61
2025-08-29T13:30:34+01:00  13:30:34 up 12 days, 16 min,  1 user,  load average: 12.75, 11.01, 11.61
2025-08-29T13:30:39+01:00  13:30:39 up 12 days, 16 min,  1 user,  load average: 12.53, 10.99, 11.60
2025-08-29T13:30:44+01:00  13:30:44 up 12 days, 16 min,  1 user,  load average: 11.93, 10.89, 11.56
2025-08-29T13:30:49+01:00  13:30:49 up 12 days, 16 min,  1 user,  load average: 12.57, 11.05, 11.61
2025-08-29T13:30:54+01:00  13:30:54 up 12 days, 16 min,  1 user,  load average: 11.81, 10.91, 11.56
2025-08-29T13:30:59+01:00  13:30:59 up 12 days, 16 min,  1 user,  load average: 12.06, 10.98, 11.58
2025-08-29T13:31:04+01:00  13:31:04 up 12 days, 16 min,  1 user,  load average: 11.82, 10.95, 11.56
2025-08-29T13:31:09+01:00  13:31:09 up 12 days, 16 min,  1 user,  load average: 12.39, 11.08, 11.60
2025-08-29T13:31:14+01:00  13:31:14 up 12 days, 16 min,  1 user,  load average: 12.52, 11.13, 11.62
2025-08-29T13:31:19+01:00  13:31:19 up 12 days, 16 min,  1 user,  load average: 12.80, 11.21, 11.64
2025-08-29T13:31:24+01:00  13:31:24 up 12 days, 17 min,  1 user,  load average: 12.50, 11.17, 11.63
2025-08-29T13:31:29+01:00  13:31:29 up 12 days, 17 min,  1 user,  load average: 11.49, 10.99, 11.56
2025-08-29T13:31:34+01:00  13:31:34 up 12 days, 17 min,  1 user,  load average: 11.37, 10.97, 11.56
2025-08-29T13:31:39+01:00  13:31:39 up 12 days, 17 min,  1 user,  load average: 11.58, 11.02, 11.57
2025-08-29T13:31:44+01:00  13:31:44 up 12 days, 17 min,  1 user,  load average: 11.06, 10.92, 11.53
2025-08-29T13:31:50+01:00  13:31:50 up 12 days, 17 min,  1 user,  load average: 13.30, 11.39, 11.68
2025-08-29T13:31:55+01:00  13:31:55 up 12 days, 17 min,  1 user,  load average: 12.31, 11.22, 11.62
2025-08-29T13:32:00+01:00  13:32:00 up 12 days, 17 min,  1 user,  load average: 12.77, 11.33, 11.66
2025-08-29T13:32:05+01:00  13:32:05 up 12 days, 17 min,  1 user,  load average: 12.62, 11.32, 11.65
2025-08-29T13:32:10+01:00  13:32:10 up 12 days, 17 min,  1 user,  load average: 12.25, 11.27, 11.63
2025-08-29T13:32:15+01:00  13:32:15 up 12 days, 17 min,  1 user,  load average: 11.75, 11.18, 11.60
2025-08-29T13:32:20+01:00  13:32:20 up 12 days, 17 min,  1 user,  load average: 11.53, 11.14, 11.59
2025-08-29T13:32:25+01:00  13:32:25 up 12 days, 18 min,  1 user,  load average: 11.17, 11.07, 11.57
2025-08-29T13:32:30+01:00  13:32:30 up 12 days, 18 min,  1 user,  load average: 11.16, 11.07, 11.56
2025-08-29T13:32:35+01:00  13:32:35 up 12 days, 18 min,  1 user,  load average: 10.34, 10.90, 11.50
2025-08-29T13:32:40+01:00  13:32:40 up 12 days, 18 min,  1 user,  load average: 11.28, 11.09, 11.56
2025-08-29T13:32:45+01:00  13:32:45 up 12 days, 18 min,  1 user,  load average: 11.17, 11.07, 11.55
2025-08-29T13:32:50+01:00  13:32:50 up 12 days, 18 min,  1 user,  load average: 11.80, 11.20, 11.59
2025-08-29T13:32:55+01:00  13:32:55 up 12 days, 18 min,  1 user,  load average: 11.74, 11.20, 11.59
2025-08-29T13:33:00+01:00  13:33:00 up 12 days, 18 min,  1 user,  load average: 11.76, 11.21, 11.59
2025-08-29T13:33:05+01:00  13:33:05 up 12 days, 18 min,  1 user,  load average: 13.62, 11.61, 11.72
2025-08-29T13:33:10+01:00  13:33:10 up 12 days, 18 min,  1 user,  load average: 14.13, 11.75, 11.76
2025-08-29T13:33:15+01:00  13:33:15 up 12 days, 18 min,  1 user,  load average: 14.04, 11.77, 11.77
2025-08-29T13:33:20+01:00  13:33:20 up 12 days, 18 min,  1 user,  load average: 13.07, 11.61, 11.72
2025-08-29T13:33:25+01:00  13:33:25 up 12 days, 19 min,  1 user,  load average: 12.03, 11.41, 11.65
