2025-09-07T13:21:22+01:00  13:21:22 up 21 days, 6 min,  1 user,  load average: 4.49, 3.43, 5.13
2025-09-07T13:24:12+01:00  13:24:12 up 21 days, 9 min,  1 user,  load average: 2.41, 3.14, 4.74
2025-09-07T13:24:17+01:00  13:24:17 up 21 days, 9 min,  1 user,  load average: 2.21, 3.09, 4.71
2025-09-07T13:24:22+01:00  13:24:22 up 21 days, 9 min,  1 user,  load average: 2.12, 3.05, 4.69
2025-09-07T13:24:27+01:00  13:24:27 up 21 days, 10 min,  1 user,  load average: 1.95, 3.00, 4.67
2025-09-07T13:24:32+01:00  13:24:32 up 21 days, 10 min,  1 user,  load average: 2.27, 3.05, 4.67
2025-09-07T13:24:37+01:00  13:24:37 up 21 days, 10 min,  1 user,  load average: 2.09, 3.00, 4.65
2025-09-07T13:24:42+01:00  13:24:42 up 21 days, 10 min,  1 user,  load average: 2.00, 2.97, 4.63
2025-09-07T13:24:47+01:00  13:24:47 up 21 days, 10 min,  1 user,  load average: 1.84, 2.92, 4.60
2025-09-07T13:24:52+01:00  13:24:52 up 21 days, 10 min,  1 user,  load average: 1.85, 2.90, 4.59
2025-09-07T13:24:57+01:00  13:24:57 up 21 days, 10 min,  1 user,  load average: 2.11, 2.94, 4.59
2025-09-07T13:25:02+01:00  13:25:02 up 21 days, 10 min,  1 user,  load average: 2.50, 3.01, 4.60
2025-09-07T13:25:07+01:00  13:25:07 up 21 days, 10 min,  1 user,  load average: 2.30, 2.95, 4.58
2025-09-07T13:25:12+01:00  13:25:12 up 21 days, 10 min,  1 user,  load average: 2.19, 2.92, 4.56
2025-09-07T13:25:17+01:00  13:25:17 up 21 days, 10 min,  1 user,  load average: 2.02, 2.87, 4.54
2025-09-07T13:25:22+01:00  13:25:22 up 21 days, 10 min,  1 user,  load average: 1.86, 2.83, 4.51
2025-09-07T13:25:27+01:00  13:25:27 up 21 days, 11 min,  1 user,  load average: 2.11, 2.86, 4.51
2025-09-07T13:25:32+01:00  13:25:32 up 21 days, 11 min,  1 user,  load average: 2.18, 2.86, 4.51
2025-09-07T13:25:37+01:00  13:25:37 up 21 days, 11 min,  1 user,  load average: 2.01, 2.82, 4.48
2025-09-07T13:25:42+01:00  13:25:42 up 21 days, 11 min,  1 user,  load average: 1.84, 2.77, 4.46
2025-09-07T13:25:47+01:00  13:25:47 up 21 days, 11 min,  1 user,  load average: 1.78, 2.74, 4.44
2025-09-07T13:25:52+01:00  13:25:52 up 21 days, 11 min,  1 user,  load average: 1.79, 2.73, 4.42
2025-09-07T13:25:57+01:00  13:25:57 up 21 days, 11 min,  1 user,  load average: 1.73, 2.70, 4.41
2025-09-07T13:26:02+01:00  13:26:02 up 21 days, 11 min,  1 user,  load average: 1.59, 2.65, 4.38
2025-09-07T13:26:07+01:00  13:26:07 up 21 days, 11 min,  1 user,  load average: 1.54, 2.63, 4.36
2025-09-07T13:26:12+01:00  13:26:12 up 21 days, 11 min,  1 user,  load average: 1.42, 2.58, 4.34
2025-09-07T13:26:17+01:00  13:26:17 up 21 days, 11 min,  1 user,  load average: 1.31, 2.54, 4.32
2025-09-07T13:26:22+01:00  13:26:22 up 21 days, 11 min,  1 user,  load average: 1.20, 2.50, 4.29
2025-09-07T13:26:27+01:00  13:26:27 up 21 days, 12 min,  1 user,  load average: 1.10, 2.45, 4.27
2025-09-07T13:26:32+01:00  13:26:32 up 21 days, 12 min,  1 user,  load average: 1.34, 2.48, 4.27
2025-09-07T13:26:37+01:00  13:26:37 up 21 days, 12 min,  1 user,  load average: 1.31, 2.46, 4.25
2025-09-07T13:26:42+01:00  13:26:42 up 21 days, 12 min,  1 user,  load average: 1.20, 2.41, 4.23
2025-09-07T13:26:47+01:00  13:26:47 up 21 days, 12 min,  1 user,  load average: 1.43, 2.44, 4.23
2025-09-07T13:26:52+01:00  13:26:52 up 21 days, 12 min,  1 user,  load average: 1.55, 2.45, 4.22
2025-09-07T13:26:57+01:00  13:26:57 up 21 days, 12 min,  1 user,  load average: 1.43, 2.41, 4.20
2025-09-07T13:27:02+01:00  13:27:02 up 21 days, 12 min,  1 user,  load average: 1.32, 2.37, 4.17
2025-09-07T13:27:07+01:00  13:27:07 up 21 days, 12 min,  1 user,  load average: 1.21, 2.33, 4.15
2025-09-07T13:27:12+01:00  13:27:12 up 21 days, 12 min,  1 user,  load average: 1.11, 2.29, 4.13
2025-09-07T13:27:17+01:00  13:27:17 up 21 days, 12 min,  1 user,  load average: 1.02, 2.25, 4.11
2025-09-07T13:27:22+01:00  13:27:22 up 21 days, 12 min,  1 user,  load average: 1.18, 2.27, 4.10
2025-09-07T13:27:27+01:00  13:27:27 up 21 days, 13 min,  1 user,  load average: 1.25, 2.26, 4.09
2025-09-07T13:27:32+01:00  13:27:32 up 21 days, 13 min,  1 user,  load average: 1.15, 2.22, 4.07
2025-09-07T13:27:37+01:00  13:27:37 up 21 days, 13 min,  1 user,  load average: 1.14, 2.20, 4.05
2025-09-07T13:27:42+01:00  13:27:42 up 21 days, 13 min,  1 user,  load average: 1.12, 2.18, 4.03
2025-09-07T13:27:47+01:00  13:27:47 up 21 days, 13 min,  1 user,  load average: 1.27, 2.20, 4.03
2025-09-07T13:27:52+01:00  13:27:52 up 21 days, 13 min,  1 user,  load average: 1.33, 2.19, 4.02
2025-09-07T13:27:57+01:00  13:27:57 up 21 days, 13 min,  1 user,  load average: 1.47, 2.21, 4.01
2025-09-07T13:28:02+01:00  13:28:02 up 21 days, 13 min,  1 user,  load average: 1.51, 2.20, 4.00
2025-09-07T13:28:07+01:00  13:28:07 up 21 days, 13 min,  1 user,  load average: 1.39, 2.17, 3.98
2025-09-07T13:28:12+01:00  13:28:12 up 21 days, 13 min,  1 user,  load average: 1.28, 2.13, 3.96
2025-09-07T13:28:17+01:00  13:28:17 up 21 days, 13 min,  1 user,  load average: 1.66, 2.19, 3.97
2025-09-07T13:28:22+01:00  13:28:22 up 21 days, 13 min,  1 user,  load average: 1.60, 2.17, 3.95
2025-09-07T13:28:27+01:00  13:28:27 up 21 days, 14 min,  1 user,  load average: 1.96, 2.24, 3.96
2025-09-07T13:28:32+01:00  13:28:32 up 21 days, 14 min,  1 user,  load average: 1.80, 2.20, 3.94
2025-09-07T13:28:37+01:00  13:28:37 up 21 days, 14 min,  1 user,  load average: 3.02, 2.45, 4.01
2025-09-07T13:28:42+01:00  13:28:42 up 21 days, 14 min,  1 user,  load average: 2.93, 2.44, 4.00
2025-09-07T13:28:47+01:00  13:28:47 up 21 days, 14 min,  1 user,  load average: 2.70, 2.40, 3.98
2025-09-07T13:28:52+01:00  13:28:52 up 21 days, 14 min,  1 user,  load average: 2.64, 2.39, 3.97
2025-09-07T13:28:57+01:00  13:28:57 up 21 days, 14 min,  1 user,  load average: 3.15, 2.50, 3.99
2025-09-07T13:29:02+01:00  13:29:02 up 21 days, 14 min,  1 user,  load average: 2.90, 2.46, 3.97
2025-09-07T13:29:07+01:00  13:29:07 up 21 days, 14 min,  1 user,  load average: 2.91, 2.47, 3.97
2025-09-07T13:29:12+01:00  13:29:12 up 21 days, 14 min,  1 user,  load average: 2.68, 2.43, 3.95
2025-09-07T13:29:17+01:00  13:29:17 up 21 days, 14 min,  1 user,  load average: 2.78, 2.45, 3.95
2025-09-07T13:29:22+01:00  13:29:22 up 21 days, 14 min,  1 user,  load average: 2.80, 2.46, 3.94
2025-09-07T13:29:28+01:00  13:29:28 up 21 days, 15 min,  1 user,  load average: 2.65, 2.44, 3.93
2025-09-07T13:29:33+01:00  13:29:33 up 21 days, 15 min,  1 user,  load average: 2.84, 2.48, 3.93
2025-09-07T13:29:38+01:00  13:29:38 up 21 days, 15 min,  1 user,  load average: 2.77, 2.47, 3.92
2025-09-07T13:29:43+01:00  13:29:43 up 21 days, 15 min,  1 user,  load average: 2.63, 2.45, 3.90
2025-09-07T13:29:48+01:00  13:29:48 up 21 days, 15 min,  1 user,  load average: 2.42, 2.41, 3.88
2025-09-07T13:29:53+01:00  13:29:53 up 21 days, 15 min,  1 user,  load average: 2.31, 2.38, 3.87
2025-09-07T13:29:58+01:00  13:29:58 up 21 days, 15 min,  1 user,  load average: 2.20, 2.36, 3.85
2025-09-07T13:30:03+01:00  13:30:03 up 21 days, 15 min,  1 user,  load average: 2.19, 2.35, 3.84
2025-09-07T13:30:08+01:00  13:30:08 up 21 days, 15 min,  1 user,  load average: 2.01, 2.31, 3.82
2025-09-07T13:30:13+01:00  13:30:13 up 21 days, 15 min,  1 user,  load average: 2.01, 2.31, 3.81
2025-09-07T13:30:18+01:00  13:30:18 up 21 days, 15 min,  1 user,  load average: 1.93, 2.29, 3.80
2025-09-07T13:30:23+01:00  13:30:23 up 21 days, 15 min,  1 user,  load average: 1.85, 2.27, 3.78
2025-09-07T13:30:28+01:00  13:30:28 up 21 days, 16 min,  1 user,  load average: 1.70, 2.23, 3.76
2025-09-07T13:30:33+01:00  13:30:33 up 21 days, 16 min,  1 user,  load average: 1.81, 2.24, 3.76
2025-09-07T13:30:38+01:00  13:30:38 up 21 days, 16 min,  1 user,  load average: 2.06, 2.29, 3.76
2025-09-07T13:30:43+01:00  13:30:43 up 21 days, 16 min,  1 user,  load average: 1.98, 2.27, 3.75
2025-09-07T13:30:48+01:00  13:30:48 up 21 days, 16 min,  1 user,  load average: 1.98, 2.26, 3.74
2025-09-07T13:30:53+01:00  13:30:53 up 21 days, 16 min,  1 user,  load average: 2.46, 2.36, 3.76
2025-09-07T13:30:58+01:00  13:30:58 up 21 days, 16 min,  1 user,  load average: 2.27, 2.32, 3.74
2025-09-07T13:31:03+01:00  13:31:03 up 21 days, 16 min,  1 user,  load average: 2.16, 2.29, 3.72
2025-09-07T13:31:08+01:00  13:31:08 up 21 days, 16 min,  1 user,  load average: 1.99, 2.26, 3.70
2025-09-07T13:31:13+01:00  13:31:13 up 21 days, 16 min,  1 user,  load average: 2.15, 2.29, 3.71
2025-09-07T13:31:18+01:00  13:31:18 up 21 days, 16 min,  1 user,  load average: 2.54, 2.36, 3.72
2025-09-07T13:31:23+01:00  13:31:23 up 21 days, 16 min,  1 user,  load average: 2.50, 2.36, 3.72
2025-09-07T13:31:28+01:00  13:31:28 up 21 days, 17 min,  1 user,  load average: 2.38, 2.33, 3.70
2025-09-07T13:31:33+01:00  13:31:33 up 21 days, 17 min,  1 user,  load average: 2.19, 2.30, 3.68
2025-09-07T13:31:38+01:00  13:31:38 up 21 days, 17 min,  1 user,  load average: 2.01, 2.26, 3.66
2025-09-07T13:31:43+01:00  13:31:43 up 21 days, 17 min,  1 user,  load average: 1.85, 2.22, 3.64
2025-09-07T13:31:48+01:00  13:31:48 up 21 days, 17 min,  1 user,  load average: 1.70, 2.18, 3.62
2025-09-07T13:31:53+01:00  13:31:53 up 21 days, 17 min,  1 user,  load average: 1.65, 2.16, 3.61
2025-09-07T13:31:58+01:00  13:31:58 up 21 days, 17 min,  1 user,  load average: 1.59, 2.14, 3.59
2025-09-07T13:32:03+01:00  13:32:03 up 21 days, 17 min,  1 user,  load average: 1.47, 2.11, 3.57
2025-09-07T13:32:08+01:00  13:32:08 up 21 days, 17 min,  1 user,  load average: 1.43, 2.09, 3.56
2025-09-07T13:32:13+01:00  13:32:13 up 21 days, 17 min,  1 user,  load average: 1.79, 2.15, 3.57
2025-09-07T13:32:18+01:00  13:32:18 up 21 days, 17 min,  1 user,  load average: 1.89, 2.17, 3.57
2025-09-07T13:32:23+01:00  13:32:23 up 21 days, 17 min,  1 user,  load average: 1.90, 2.16, 3.56
2025-09-07T13:32:28+01:00  13:32:28 up 21 days, 18 min,  1 user,  load average: 1.91, 2.16, 3.55
2025-09-07T13:32:33+01:00  13:32:33 up 21 days, 18 min,  1 user,  load average: 2.08, 2.19, 3.55
2025-09-07T13:32:38+01:00  13:32:38 up 21 days, 18 min,  1 user,  load average: 2.15, 2.21, 3.55
2025-09-07T13:32:43+01:00  13:32:43 up 21 days, 18 min,  1 user,  load average: 2.94, 2.37, 3.60
2025-09-07T13:32:48+01:00  13:32:48 up 21 days, 18 min,  1 user,  load average: 2.94, 2.38, 3.59
2025-09-07T13:32:53+01:00  13:32:53 up 21 days, 18 min,  1 user,  load average: 4.07, 2.62, 3.66
2025-09-07T13:32:58+01:00  13:32:58 up 21 days, 18 min,  1 user,  load average: 3.98, 2.63, 3.66
2025-09-07T13:33:03+01:00  13:33:03 up 21 days, 18 min,  1 user,  load average: 3.75, 2.60, 3.65
2025-09-07T13:33:08+01:00  13:33:08 up 21 days, 18 min,  1 user,  load average: 3.44, 2.56, 3.63
2025-09-07T13:33:13+01:00  13:33:13 up 21 days, 18 min,  1 user,  load average: 3.33, 2.55, 3.62
2025-09-07T13:33:18+01:00  13:33:18 up 21 days, 18 min,  1 user,  load average: 3.30, 2.56, 3.61
2025-09-07T13:33:23+01:00  13:33:23 up 21 days, 18 min,  1 user,  load average: 3.28, 2.56, 3.61
2025-09-07T13:33:28+01:00  13:33:28 up 21 days, 19 min,  1 user,  load average: 3.02, 2.52, 3.59
2025-09-07T13:33:33+01:00  13:33:33 up 21 days, 19 min,  1 user,  load average: 2.85, 2.50, 3.58
2025-09-07T13:33:38+01:00  13:33:38 up 21 days, 19 min,  1 user,  load average: 2.70, 2.47, 3.56
2025-09-07T13:33:43+01:00  13:33:43 up 21 days, 19 min,  1 user,  load average: 2.97, 2.53, 3.58
2025-09-07T13:33:48+01:00  13:33:48 up 21 days, 19 min,  1 user,  load average: 2.81, 2.50, 3.56
2025-09-07T13:33:53+01:00  13:33:53 up 21 days, 19 min,  1 user,  load average: 2.67, 2.48, 3.55
2025-09-07T13:33:58+01:00  13:33:58 up 21 days, 19 min,  1 user,  load average: 2.53, 2.45, 3.53
2025-09-07T13:34:03+01:00  13:34:03 up 21 days, 19 min,  1 user,  load average: 2.49, 2.45, 3.52
2025-09-07T13:34:08+01:00  13:34:08 up 21 days, 19 min,  1 user,  load average: 2.29, 2.41, 3.51
2025-09-07T13:34:13+01:00  13:34:13 up 21 days, 19 min,  1 user,  load average: 2.11, 2.37, 3.49
2025-09-07T13:34:18+01:00  13:34:18 up 21 days, 19 min,  1 user,  load average: 2.10, 2.36, 3.48
2025-09-07T13:34:23+01:00  13:34:23 up 21 days, 19 min,  1 user,  load average: 2.17, 2.37, 3.47
2025-09-07T13:34:28+01:00  13:34:28 up 21 days, 20 min,  1 user,  load average: 2.00, 2.33, 3.46
2025-09-07T13:34:33+01:00  13:34:33 up 21 days, 20 min,  1 user,  load average: 2.00, 2.32, 3.45
2025-09-07T13:34:38+01:00  13:34:38 up 21 days, 20 min,  1 user,  load average: 2.48, 2.42, 3.47
2025-09-07T13:34:43+01:00  13:34:43 up 21 days, 20 min,  1 user,  load average: 2.76, 2.48, 3.49
2025-09-07T13:34:48+01:00  13:34:48 up 21 days, 20 min,  1 user,  load average: 3.74, 2.69, 3.55
2025-09-07T13:34:53+01:00  13:34:53 up 21 days, 20 min,  1 user,  load average: 3.68, 2.69, 3.54
2025-09-07T13:34:58+01:00  13:34:58 up 21 days, 20 min,  1 user,  load average: 4.11, 2.80, 3.57
2025-09-07T13:35:03+01:00  13:35:03 up 21 days, 20 min,  1 user,  load average: 4.10, 2.82, 3.58
2025-09-07T13:35:08+01:00  13:35:08 up 21 days, 20 min,  1 user,  load average: 3.93, 2.80, 3.57
2025-09-07T13:35:13+01:00  13:35:13 up 21 days, 20 min,  1 user,  load average: 3.77, 2.79, 3.56
2025-09-07T13:35:18+01:00  13:35:18 up 21 days, 20 min,  1 user,  load average: 3.55, 2.76, 3.55
2025-09-07T13:35:23+01:00  13:35:23 up 21 days, 20 min,  1 user,  load average: 3.43, 2.75, 3.54
2025-09-07T13:35:28+01:00  13:35:28 up 21 days, 21 min,  1 user,  load average: 3.15, 2.70, 3.52
2025-09-07T13:35:33+01:00  13:35:33 up 21 days, 21 min,  1 user,  load average: 3.06, 2.69, 3.51
2025-09-07T13:35:38+01:00  13:35:38 up 21 days, 21 min,  1 user,  load average: 3.14, 2.71, 3.51
2025-09-07T13:35:43+01:00  13:35:43 up 21 days, 21 min,  1 user,  load average: 3.37, 2.77, 3.53
2025-09-07T13:35:48+01:00  13:35:48 up 21 days, 21 min,  1 user,  load average: 3.26, 2.75, 3.52
2025-09-07T13:35:53+01:00  13:35:53 up 21 days, 21 min,  1 user,  load average: 3.80, 2.87, 3.55
2025-09-07T13:35:58+01:00  13:35:58 up 21 days, 21 min,  1 user,  load average: 3.49, 2.83, 3.53
2025-09-07T13:36:03+01:00  13:36:03 up 21 days, 21 min,  1 user,  load average: 3.37, 2.81, 3.53
2025-09-07T13:36:08+01:00  13:36:08 up 21 days, 21 min,  1 user,  load average: 3.10, 2.76, 3.51
2025-09-07T13:36:13+01:00  13:36:13 up 21 days, 21 min,  1 user,  load average: 3.17, 2.79, 3.51
2025-09-07T13:36:18+01:00  13:36:18 up 21 days, 21 min,  1 user,  load average: 2.92, 2.74, 3.49
2025-09-07T13:36:23+01:00  13:36:23 up 21 days, 21 min,  1 user,  load average: 2.93, 2.74, 3.49
2025-09-07T13:36:28+01:00  13:36:28 up 21 days, 22 min,  1 user,  load average: 2.77, 2.71, 3.47
2025-09-07T13:36:33+01:00  13:36:33 up 21 days, 22 min,  1 user,  load average: 2.87, 2.74, 3.48
2025-09-07T13:36:38+01:00  13:36:38 up 21 days, 22 min,  1 user,  load average: 3.76, 2.92, 3.53
2025-09-07T13:36:43+01:00  13:36:43 up 21 days, 22 min,  1 user,  load average: 3.54, 2.89, 3.52
2025-09-07T13:36:48+01:00  13:36:48 up 21 days, 22 min,  1 user,  load average: 3.34, 2.86, 3.51
2025-09-07T13:36:53+01:00  13:36:53 up 21 days, 22 min,  1 user,  load average: 3.71, 2.94, 3.53
2025-09-07T13:36:58+01:00  13:36:58 up 21 days, 22 min,  1 user,  load average: 3.57, 2.93, 3.52
2025-09-07T13:37:03+01:00  13:37:03 up 21 days, 22 min,  1 user,  load average: 3.29, 2.88, 3.50
2025-09-07T13:37:08+01:00  13:37:08 up 21 days, 22 min,  1 user,  load average: 3.02, 2.83, 3.48
2025-09-07T13:37:13+01:00  13:37:13 up 21 days, 22 min,  1 user,  load average: 2.94, 2.82, 3.48
2025-09-07T13:37:18+01:00  13:37:18 up 21 days, 22 min,  1 user,  load average: 2.79, 2.79, 3.46
2025-09-07T13:37:23+01:00  13:37:23 up 21 days, 22 min,  1 user,  load average: 2.56, 2.74, 3.44
2025-09-07T13:37:28+01:00  13:37:28 up 21 days, 23 min,  1 user,  load average: 2.52, 2.73, 3.43
2025-09-07T13:37:33+01:00  13:37:33 up 21 days, 23 min,  1 user,  load average: 2.40, 2.70, 3.42
2025-09-07T13:37:38+01:00  13:37:38 up 21 days, 23 min,  1 user,  load average: 2.44, 2.70, 3.42
2025-09-07T13:37:43+01:00  13:37:43 up 21 days, 23 min,  1 user,  load average: 2.41, 2.69, 3.41
2025-09-07T13:37:48+01:00  13:37:48 up 21 days, 23 min,  1 user,  load average: 2.62, 2.73, 3.42
2025-09-07T13:37:53+01:00  13:37:53 up 21 days, 23 min,  1 user,  load average: 2.73, 2.75, 3.42
2025-09-07T13:37:58+01:00  13:37:58 up 21 days, 23 min,  1 user,  load average: 2.75, 2.76, 3.42
2025-09-07T13:38:03+01:00  13:38:03 up 21 days, 23 min,  1 user,  load average: 4.77, 3.18, 3.55
2025-09-07T13:38:08+01:00  13:38:08 up 21 days, 23 min,  1 user,  load average: 4.39, 3.12, 3.53
2025-09-07T13:38:13+01:00  13:38:13 up 21 days, 23 min,  1 user,  load average: 4.60, 3.19, 3.55
2025-09-07T13:38:18+01:00  13:38:18 up 21 days, 23 min,  1 user,  load average: 4.55, 3.20, 3.56
2025-09-07T13:38:23+01:00  13:38:23 up 21 days, 23 min,  1 user,  load average: 4.75, 3.27, 3.57
2025-09-07T13:38:28+01:00  13:38:28 up 21 days, 24 min,  1 user,  load average: 5.33, 3.41, 3.62
2025-09-07T13:38:33+01:00  13:38:33 up 21 days, 24 min,  1 user,  load average: 5.22, 3.42, 3.62
2025-09-07T13:38:38+01:00  13:38:38 up 21 days, 24 min,  1 user,  load average: 4.80, 3.36, 3.60
2025-09-07T13:38:43+01:00  13:38:43 up 21 days, 24 min,  1 user,  load average: 4.98, 3.42, 3.62
2025-09-07T13:38:48+01:00  13:38:48 up 21 days, 24 min,  1 user,  load average: 4.74, 3.40, 3.61
2025-09-07T13:38:54+01:00  13:38:54 up 21 days, 24 min,  1 user,  load average: 5.24, 3.53, 3.65
2025-09-07T13:38:59+01:00  13:38:59 up 21 days, 24 min,  1 user,  load average: 5.22, 3.55, 3.66
2025-09-07T13:39:04+01:00  13:39:04 up 21 days, 24 min,  1 user,  load average: 4.88, 3.51, 3.64
2025-09-07T13:39:09+01:00  13:39:09 up 21 days, 24 min,  1 user,  load average: 4.81, 3.52, 3.65
2025-09-07T13:39:14+01:00  13:39:14 up 21 days, 24 min,  1 user,  load average: 4.59, 3.49, 3.64
2025-09-07T13:39:19+01:00  13:39:19 up 21 days, 24 min,  1 user,  load average: 4.30, 3.45, 3.62
2025-09-07T13:39:24+01:00  13:39:24 up 21 days, 24 min,  1 user,  load average: 4.20, 3.44, 3.62
2025-09-07T13:39:29+01:00  13:39:29 up 21 days, 25 min,  1 user,  load average: 3.86, 3.38, 3.60
2025-09-07T13:39:34+01:00  13:39:34 up 21 days, 25 min,  1 user,  load average: 3.63, 3.34, 3.59
2025-09-07T13:39:39+01:00  13:39:39 up 21 days, 25 min,  1 user,  load average: 3.34, 3.29, 3.57
2025-09-07T13:39:44+01:00  13:39:44 up 21 days, 25 min,  1 user,  load average: 3.23, 3.27, 3.56
2025-09-07T13:39:49+01:00  13:39:49 up 21 days, 25 min,  1 user,  load average: 3.29, 3.28, 3.56
2025-09-07T13:39:54+01:00  13:39:54 up 21 days, 25 min,  1 user,  load average: 3.11, 3.24, 3.55
2025-09-07T13:39:59+01:00  13:39:59 up 21 days, 25 min,  1 user,  load average: 3.02, 3.22, 3.54
2025-09-07T13:40:04+01:00  13:40:04 up 21 days, 25 min,  1 user,  load average: 3.10, 3.23, 3.54
2025-09-07T13:40:09+01:00  13:40:09 up 21 days, 25 min,  1 user,  load average: 3.01, 3.21, 3.53
2025-09-07T13:40:14+01:00  13:40:14 up 21 days, 25 min,  1 user,  load average: 3.01, 3.21, 3.53
2025-09-07T13:40:19+01:00  13:40:19 up 21 days, 25 min,  1 user,  load average: 2.93, 3.19, 3.52
2025-09-07T13:40:24+01:00  13:40:24 up 21 days, 25 min,  1 user,  load average: 2.93, 3.19, 3.52
2025-09-07T13:40:29+01:00  13:40:29 up 21 days, 26 min,  1 user,  load average: 2.86, 3.17, 3.51
2025-09-07T13:40:34+01:00  13:40:34 up 21 days, 26 min,  1 user,  load average: 2.63, 3.11, 3.49
2025-09-07T13:40:39+01:00  13:40:39 up 21 days, 26 min,  1 user,  load average: 2.66, 3.11, 3.49
2025-09-07T13:40:44+01:00  13:40:44 up 21 days, 26 min,  1 user,  load average: 2.61, 3.09, 3.48
2025-09-07T13:40:49+01:00  13:40:49 up 21 days, 26 min,  1 user,  load average: 2.40, 3.04, 3.46
2025-09-07T13:40:54+01:00  13:40:54 up 21 days, 26 min,  1 user,  load average: 2.45, 3.04, 3.46
2025-09-07T13:40:59+01:00  13:40:59 up 21 days, 26 min,  1 user,  load average: 2.41, 3.02, 3.45
2025-09-07T13:41:04+01:00  13:41:04 up 21 days, 26 min,  1 user,  load average: 2.62, 3.06, 3.46
2025-09-07T13:41:09+01:00  13:41:09 up 21 days, 26 min,  1 user,  load average: 3.21, 3.17, 3.49
2025-09-07T13:41:14+01:00  13:41:14 up 21 days, 26 min,  1 user,  load average: 2.95, 3.12, 3.47
2025-09-07T13:41:19+01:00  13:41:19 up 21 days, 26 min,  1 user,  load average: 3.04, 3.13, 3.48
